day,rule,regime,hour,fA,fB,fC,fD,fE,fF
3,Q-Learning,No-Charge,10,109868.55144989758,164592.19819856598,193793.85901231243,256338.83827625588,196291.18925314466,3528149.0759007335
3,Q-Learning,No-Charge,11,153432.3065653509,163043.43434139088,296056.87156028027,379129.9249672071,261483.37097584098,1902140.022888476
3,Q-Learning,No-Charge,12,187082.21687201748,216929.04991539588,375222.40530193143,273398.4911504302,212993.27024767845,1239064.151724587
3,Q-Learning,No-Charge,13,206297.32091514638,249077.92333809013,334073.14173552475,362419.4269407745,208523.58229611564,658232.636213659
3,Q-Learning,No-Charge,14,201722.94547895814,308448.4215881061,285134.5476981799,361180.6975428281,162275.40507439195,515062.45642375946
3,Q-Learning,No-Charge,15,209764.927837854,323953.8397466478,394632.9544727886,280628.3684996128,134699.581422681,409831.78553143155
3,Q-Learning,No-Charge,16,188892.88178853286,213146.93372768423,391855.9589047595,366180.3745648865,245767.85547069594,827942.4617586639
3,Q-Learning,No-Charge,17,157636.82370481192,187296.56633513616,240200.6531764313,399253.596996307,290460.1021019089,1765913.5725266617
3,Q-Learning,No-Charge,18,127164.40280969687,220567.82446945598,210248.10509509628,411865.17013453576,352169.19688786846,1810757.1736590406
3,Q-Learning,No-Charge,19,160064.73822918383,191700.25033546874,275034.09985255706,477746.6066372999,314993.6692124623,1396746.0703897448
3,Q-Learning,No-Charge,20,199001.00467523944,261575.738631162,427377.62965062057,337148.13474284805,144419.1141274335,599740.6720844525
3,Q-Learning,No-Charge,21,294332.8385882377,299920.71686786955,248000.29585438335,124892.5524362848,60672.44203531023,186163.905864613
3,Q-Learning,No-Charge,22,365139.4580329937,199477.5485505124,91845.01766483024,58680.35785616929,18315.13149316596,78596.54551416129
3,Q-Learning,No-Charge,23,377336.12894709344,80797.09347667571,44513.02710012946,20431.271567317563,4932.0257636127935,42232.287992089914
3,Q-Learning,No-Charge,0,329459.18316299544,61728.630368948,19000.023297525615,6464.929441863919,1072.0554618524468,31844.094744769645
3,Q-Learning,No-Charge,1,303212.78187425894,75475.09711861753,26264.64703617737,10751.005899113756,3703.584025974569,36405.17421416851
3,Q-Learning,No-Charge,2,305121.8719864326,53021.18552260367,31345.86014969955,16776.97525366098,2853.116857680733,34325.226018934205
3,Q-Learning,No-Charge,3,323779.0645036706,49090.50620428246,31485.15300618026,16736.007854216045,3858.514125158771,34614.01630809366
3,Q-Learning,No-Charge,4,323871.7199127115,63754.61119217196,28705.342231678136,13203.858981364276,2670.924271262712,33639.038127250424
4,Q-Learning,No-Charge,5,61715.01411385516,5718.066029761757,792.3518124023924,46.06554151569999,146.81033851090007,410.0091151343847
4,Q-Learning,No-Charge,6,296046.0438824407,126693.03438189499,71899.00130037135,27937.852004389075,29137.948136645668,43559.07348056093
4,Q-Learning,No-Charge,7,216114.76112149036,229002.11413288533,333865.3631609551,331124.73736416356,146039.12506099808,553684.9824095633
4,Q-Learning,No-Charge,8,118898.39630213976,194948.16044702588,206206.85955584413,231319.47552496826,331281.5855560891,2750101.4887132016
4,Q-Learning,No-Charge,9,89316.39974642548,165378.95063762562,275190.05936418724,184375.81767744012,100609.77556385909,4170955.2766224956
4,Q-Learning,No-Charge,10,106783.06969892366,192304.79361458978,212990.3049401438,257519.2200938119,237668.2349679334,3285495.3459236887
4,Q-Learning,No-Charge,11,166408.69045612708,183739.2615965415,305122.51509228774,384824.3423078187,270609.20075737435,1831068.6296176796
4,Q-Learning,No-Charge,12,188952.18897951138,207281.6561832723,446253.30442261626,326702.4593945479,222223.70434341158,1000995.6509955815
4,Q-Learning,No-Charge,13,201524.73474548428,269493.16169661493,410886.36757770844,302397.8040733673,167405.9030633297,592961.7765337441
4,Q-Learning,No-Charge,14,190286.09110400785,236853.7427346245,457301.53729652433,307401.22806079395,164397.17288467617,474250.2763863074
4,Q-Learning,No-Charge,15,204259.34518562417,193070.39887048939,437610.87615617784,362845.6308658073,208434.1582452029,616517.9707669256
4,Q-Learning,No-Charge,16,178568.74393099084,190681.88181979783,300389.45471968694,477311.3340346452,319064.08089533227,999714.1666006356
4,Q-Learning,No-Charge,17,140604.59230012787,161867.5768973967,268107.8921614469,341846.6771821765,366551.2420277815,1956426.073496578
4,Q-Learning,No-Charge,18,143202.9851063924,170587.63361177995,242285.18327272346,362839.27995617734,296241.90197656455,2124142.930810928
4,Q-Learning,No-Charge,19,165514.21148680482,155418.1991441243,300138.20452049834,446225.6721945789,317853.9867643027,1415907.6889780427
4,Q-Learning,No-Charge,20,188493.45349716878,245444.58396480128,369515.4572364388,380370.81300145626,216292.30246711193,651919.3141259685
4,Q-Learning,No-Charge,21,264981.76317294827,316076.07263587235,280762.3054052089,144875.9459598294,71047.13192365016,197842.91724685914
4,Q-Learning,No-Charge,22,395514.6863926597,140708.0579992858,64219.41150692144,28203.33923369691,12128.717418137863,51165.3517513832
4,Q-Learning,No-Charge,23,371309.1905394082,93955.42202943731,34269.51699250096,11982.90746338645,2326.9263510055553,34602.730341715695
4,Q-Learning,No-Charge,0,319606.57259094866,104830.1500713943,28004.678261714424,16348.853101770186,2163.0932757243772,30751.522912381057
4,Q-Learning,No-Charge,1,265959.6426409639,87105.1359682447,19427.038205979778,22867.73783334265,12320.907522015761,16658.000928060734
4,Q-Learning,No-Charge,2,283768.4945723091,72148.04460851596,18939.509413305772,12844.238971770965,7811.3076822730545,19472.47499803298
4,Q-Learning,No-Charge,3,340943.55913084367,72694.81527988422,27303.104276273854,14145.236533784764,11165.516768667263,35934.46626996666
4,Q-Learning,No-Charge,4,323430.20094842697,77724.92945813305,30351.50118914821,13627.716322886119,3219.2618100758946,33904.73394584744
5,Q-Learning,No-Charge,5,76105.49035237632,5224.779769559976,3984.896342326564,1671.265188495872,561.8383149815899,150.35564881193545
5,Q-Learning,No-Charge,6,313345.11762635154,95435.3960468128,49446.48573655602,32393.74637085622,16976.952979606336,37202.481799813155
5,Q-Learning,No-Charge,7,226348.89015249282,239253.75940990617,330819.0403048966,283337.8461196006,173816.750028051,546600.4003105732
5,Q-Learning,No-Charge,8,125524.2241959574,160412.7629488726,196078.58099353983,270186.50055668846,334285.04134362773,2735691.9919017
5,Q-Learning,No-Charge,9,99748.02950532525,143758.57041987043,234298.90609085266,217818.235025091,166961.90496436853,4032239.641661109
5,Q-Learning,No-Charge,10,122254.85962434749,160887.56883403356,220607.06540084945,314974.2447755291,232148.56102875332,3056276.3492979775
5,Q-Learning,No-Charge,11,172398.8384908743,185985.98486627618,230635.0473293395,434018.8895941743,249151.099449899,1774274.235216609
5,Q-Learning,No-Charge,12,195597.23530560816,177300.57993986638,379630.4788149623,324554.13394800306,208304.68654938237,1113107.5702004572
5,Q-Learning,No-Charge,13,201248.21662471085,222392.2640672318,383025.2017334626,367197.0067604603,193256.34892063626,615102.3369397629
5,Q-Learning,No-Charge,14,208403.45149425307,252021.629703511,433400.1071499459,248267.04485127,183956.82784794364,445369.0873139492
5,Q-Learning,No-Charge,15,209322.64578854712,241524.9819389515,430876.752425576,294096.2279859074,180732.26151467426,468442.9436364684
5,Q-Learning,No-Charge,16,182196.91373913357,208160.61970479143,379168.3657128864,376442.52067353524,292495.6555172961,818593.2532010243
5,Q-Learning,No-Charge,17,142138.71657015305,164953.1538380929,343452.5623971178,362070.51369657484,330984.4074440265,1700805.20114068
5,Q-Learning,No-Charge,18,137265.47193330797,196591.39555531612,188150.00135284534,399765.31836882513,306392.46363189275,2178716.003942162
5,Q-Learning,No-Charge,19,168986.8295846897,170264.3968741184,245694.47895370648,494810.39041524084,287386.1040822978,1516419.1593693045
5,Q-Learning,No-Charge,20,198919.51751200797,205580.59524831854,455681.69619404874,353959.20715356484,228735.96648843016,523347.77161947876
5,Q-Learning,No-Charge,21,231796.30667849572,369914.29046551423,310948.8423991507,140618.8952785588,68534.2030679253,225682.7320537634
5,Q-Learning,No-Charge,22,358448.8912644071,236601.53882869528,108808.07777495308,50928.98109651593,20857.56708326153,98215.61537827482
5,Q-Learning,No-Charge,23,340562.56882412225,145164.13206333492,42926.005303534235,25576.08943999978,3745.343100266667,39177.55097782266
5,Q-Learning,No-Charge,0,328394.4094071345,113354.07771673387,25248.20364773003,9047.67650816531,2446.457375481008,36118.47112909804
5,Q-Learning,No-Charge,1,319549.0099420012,87894.50753551525,25197.720067201393,5908.51092956588,856.3169856558794,30921.313776853916
5,Q-Learning,No-Charge,2,290389.7877516945,81726.50320991181,15269.26687156659,4841.099482887176,5670.762617578977,23851.23212509678
5,Q-Learning,No-Charge,3,250770.4112296254,52285.6087808713,14827.781841810674,5049.518091707188,3828.0221863128972,11000.912907911235
5,Q-Learning,No-Charge,4,268111.2144257608,38934.61128561206,32759.474619879493,18380.036031911244,6841.427196162963,7989.462372299842
6,Q-Learning,No-Charge,5,128694.8175901837,11822.178441969152,4515.72656483219,1963.1451548050345,1901.799236641714,10479.616137694708
6,Q-Learning,No-Charge,6,283173.07563603704,234979.01071238721,95306.93559037278,57109.767125493796,46349.74277506641,100073.51703770657
6,Q-Learning,No-Charge,7,195470.36646266354,257579.98809099803,353908.7655586649,337237.12926888943,147567.28146057532,711570.0499196802
6,Q-Learning,No-Charge,8,125723.66944202485,187371.55984012515,244684.14875460963,275544.3748913072,269447.76706867764,2587216.5066324193
6,Q-Learning,No-Charge,9,100142.63119373428,187421.7771651747,215598.31640112645,147314.75491982215,235965.05260761033,3938515.1937752324
6,Q-Learning,No-Charge,10,122182.95355271806,191273.5340350127,206524.99558716005,288699.4056425346,233192.79602490118,3148000.136720956
6,Q-Learning,No-Charge,11,155685.2519053349,187363.24467068136,312429.64343329956,306888.0848412034,240419.48496429969,2114708.269122684
6,Q-Learning,No-Charge,12,194764.7491297249,198385.0919459504,386241.3615079329,322366.58953081834,214190.43975761527,1206086.2773834376
6,Q-Learning,No-Charge,13,204755.2312022734,254275.62737260835,353289.23366071633,359899.44174151233,266719.3594623298,680501.6680529809
6,Q-Learning,No-Charge,14,209464.87327808564,248981.0467800877,370422.6995260233,294594.4952845554,232710.2779320546,653739.2609564259
6,Q-Learning,No-Charge,15,196683.30205024433,219643.63912611073,476628.57337908697,337486.4438871583,149475.5771093217,631087.6932835995
6,Q-Learning,No-Charge,16,181387.25109029256,184772.18422714132,406688.0609602809,446707.09204123256,204562.11784810244,924377.1074583322
6,Q-Learning,No-Charge,17,164127.37955233987,172681.42909431687,246782.6435815372,426686.979279666,401972.02005378937,1350039.5707795953
6,Q-Learning,No-Charge,18,134456.3620426051,167440.2230923614,210304.9119168316,541096.0166870361,382657.2280920732,1563857.0995366198
6,Q-Learning,No-Charge,19,140810.82387771434,190331.68399307627,283899.50876587955,477970.1298055778,387745.02321647236,1443763.219951488
6,Q-Learning,No-Charge,20,192777.06136069325,224732.02882894903,468167.8792100499,330360.13988382113,249731.69452900538,609504.8174377988
6,Q-Learning,No-Charge,21,257020.5637458314,376102.80571740883,284329.241132532,127461.14799456194,66145.6675523604,219268.76095190202
6,Q-Learning,No-Charge,22,370382.91458301904,245978.7407948412,83210.36378058122,47363.1966913565,17915.176720433497,71389.74371054418
6,Q-Learning,No-Charge,23,386119.7611117961,76954.04172222498,26167.353231845405,9941.1892684932,3796.5519241095794,30981.748148032366
6,Q-Learning,No-Charge,0,311010.0359585202,81284.06647143095,20495.642406710835,11445.749666191597,2972.578023562212,28652.076678263034
6,Q-Learning,No-Charge,1,286586.3340067094,77723.40049987078,16169.342149054912,11382.739487302877,3800.888931982731,28957.995006311106
6,Q-Learning,No-Charge,2,310919.75842997653,76319.52339006093,23143.848155636388,14736.86508418027,10324.01917646538,35967.04743832509
6,Q-Learning,No-Charge,3,343732.3411081809,51880.257178884385,36672.62166287014,14710.488198021778,2763.5789538381537,36915.40062673434
6,Q-Learning,No-Charge,4,308947.4951196467,56975.789378019246,35164.53709452155,6563.9209534358015,2838.7273475932584,32175.922096034927
7,Q-Learning,No-Charge,5,102231.35321226798,6245.781369754655,3843.5475811434576,643.5886792771303,89.61288870532965,24.91949274548165
7,Q-Learning,No-Charge,6,324176.6087974794,133563.2712285616,76217.69751119959,44913.143840694735,16324.073988209746,50435.55453788502
7,Q-Learning,No-Charge,7,202972.724724779,276691.7019826062,333652.4655614968,363845.9033546707,181419.68494574795,475956.12329006224
7,Q-Learning,No-Charge,8,117511.4033920344,196113.8661747547,240482.6394218421,291841.54235914844,295905.9218485972,2478647.7211555797
7,Q-Learning,No-Charge,9,73853.64750539279,178922.7487843444,254331.53154164905,242793.31246444205,170237.40618163842,3954072.6094254786
7,Q-Learning,No-Charge,10,97389.3683463727,210034.37431591723,232330.6568717669,256852.53672530543,215495.72448287415,3514941.946391887
7,Q-Learning,No-Charge,11,145745.0295279906,224541.25213647296,219592.07870692378,358329.583466531,291314.945219012,2314855.779966327
7,Q-Learning,No-Charge,12,195879.93495733826,179868.4430921759,365163.4569156629,298907.457980281,217080.19300984318,1369809.9337743432
7,Q-Learning,No-Charge,13,199671.8029062615,195476.23385577375,422921.6804254992,353962.9715340456,209477.57419550148,652312.1748990272
7,Q-Learning,No-Charge,14,192178.0669279603,290732.4118081762,395295.78056895814,320424.8502525557,150463.54689021324,423346.8380941511
7,Q-Learning,No-Charge,15,218185.56436608502,291509.55985670374,377499.63948821416,367299.9655531605,97999.45967321515,474948.5775617094
7,Q-Learning,No-Charge,16,176795.06290698182,228998.28520401765,408413.44955359586,395937.75266847503,206024.50756102023,858737.8272004944
7,Q-Learning,No-Charge,17,159057.35724156554,152961.3970168396,252272.68129072015,388115.8553804962,325257.46314675716,1910979.53756586
7,Q-Learning,No-Charge,18,147598.8664491997,177867.90424121765,195755.3750273628,362091.31105293,407387.85048260645,2172351.019153116
7,Q-Learning,No-Charge,19,158267.62501267632,213444.38237997793,243982.4089899684,487525.2152509089,260105.28883921867,1428328.9495156277
