day,rule,regime,hour,fA,fB,fC,fD,fE,fF
4,Exp-Decay,No-Charge,0,389702.4405858588,122898.35591054613,34358.268827745465,4957.436222886212,6118.974686807859,42407.75806380844
4,Exp-Decay,No-Charge,1,336679.392069812,75405.31184677323,21485.293733984436,8896.968918232214,4375.474131938967,23566.784520568533
4,Exp-Decay,No-Charge,2,306636.0711320803,83475.44954041418,31234.37947660749,18505.13699866884,12565.848446717491,36048.05660979446
4,Exp-Decay,No-Charge,3,330211.30011739273,125606.74815616391,40940.96967555373,19280.09082572637,15086.255054863605,55126.203844384625
4,Exp-Decay,No-Charge,4,341267.3643594559,122175.28107854928,39972.79967300723,17924.753048445877,9183.428376606416,41603.14874199277
5,Exp-Decay,No-Charge,5,158399.1704438975,33420.774774492325,10079.054687275458,4254.850587576728,1358.4531335726397,1826.0545289019065
5,Exp-Decay,No-Charge,6,327176.6706433772,259332.9934678141,171545.53917728108,70681.27237919217,31436.440925141505,121630.32418049598
5,Exp-Decay,No-Charge,7,173030.13636073092,230469.52797282563,337527.03232189675,377593.1656030122,194574.03692512898,1116390.5002397627
5,Exp-Decay,No-Charge,8,107266.35368650811,142293.6259659754,259196.3339816029,255242.88039935677,193432.59083084986,3582416.907131673
5,Exp-Decay,No-Charge,9,86436.57102929553,121269.56356365979,189630.81684525165,331155.68362653186,154600.1354773325,4786911.215936757
5,Exp-Decay,No-Charge,10,100206.15783487205,132361.13385723685,236436.87826694816,303968.40440468665,183981.6026036916,4100424.613311916
5,Exp-Decay,No-Charge,11,128922.54082123977,197319.66091352043,257576.66691626285,302342.0730711003,214674.27088523173,2791281.7507406496
5,Exp-Decay,No-Charge,12,161728.36551949376,211695.28083393633,279510.4381981741,317294.6817162079,318048.2955713327,1869166.5578644355
5,Exp-Decay,No-Charge,13,178025.1657098564,177212.2180164589,299705.7943135239,424153.3011280349,200911.5231657773,1620962.539839847
5,Exp-Decay,No-Charge,14,176288.80732709635,142477.19008867198,302073.65797517466,472296.08858902904,315480.7480686561,1350892.3771904157
5,Exp-Decay,No-Charge,15,159823.51872120373,155759.9772449862,353605.81798062485,527242.0501468115,284337.54571993335,1191638.619778231
5,Exp-Decay,No-Charge,16,142254.38868023385,201851.03610500786,257512.70811468904,492600.0966310051,325326.17262075905,1584048.0937470149
5,Exp-Decay,No-Charge,17,120152.25825762915,189354.45795996411,235830.95423554807,349894.9130427634,278396.8036781781,2587599.422422987
5,Exp-Decay,No-Charge,18,89861.97853526524,190959.5550461664,275902.28711327113,268717.8354590371,187406.03811242146,3159605.7003126973
5,Exp-Decay,No-Charge,19,113224.39158827625,211870.07200441495,259252.58681907266,282350.9568250019,350964.9172961863,2407063.8617230784
5,Exp-Decay,No-Charge,20,165088.14685173339,180950.13964508745,279832.7714338381,467633.1770281571,374977.53756470536,1387173.424524192
5,Exp-Decay,No-Charge,21,203939.1548434891,233764.87331529026,465820.8281546724,348478.11053106526,184448.6613334797,483109.4277977613
5,Exp-Decay,No-Charge,22,289354.9528544247,326117.7141551175,234413.96806184534,125645.13830998677,49084.61658013927,146453.0560870958
5,Exp-Decay,No-Charge,23,375799.1479088114,142975.30201327967,60453.9598788942,20154.356050396047,6938.452218204197,49413.008792882334
5,Exp-Decay,No-Charge,0,332186.60634454474,139677.79261507446,56968.06709383113,15406.324491896095,4574.149615590497,37508.04026291371
