"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"equity-quintile"
"08/07/2026 14:37:20:131 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","transit-penalty","n-sim-days","control-seed?","current-seed","[step]","current-sim-day","peak-vc-inner","optin-q 1","optin-q 2","optin-q 3","optin-q 4","optin-q 5","optin-tier 1","optin-tier 2","burden-quintile 1","burden-quintile 5","mean [fee-paid-today] of vehicles"
"2","Exp-Decay","tou","0","14","true","11","11","11","0.09232982483039301","0.2781456953642384","0.328719723183391","0.45791245791245794","0.43205574912891986","0.48","0.4100346020761246","0.3882863340563991","1.0876706680068726","0.22051982392637393","1.1048"
"4","El Farol","tou","0","14","true","11","10","10","0.1765865243493674","0.9370860927152318","0.916955017301038","0.9259259259259259","0.9094076655052264","0.9292307692307692","0.9325259515570934","0.9186550976138829","1.1795892729562734","0.2177128374077928","2.628"
"3","El Farol","No-Charge","0","14","true","11","10","10","0.19557545186361408","0.9271523178807947","0.9446366782006921","0.9259259259259259","0.9337979094076655","0.9538461538461539","0.9377162629757786","0.9370932754880694","0","0","0"
"1","Exp-Decay","No-Charge","0","14","true","11","11","11","0.12741527905696037","0.5397350993377483","0.4532871972318339","0.4612794612794613","0.5121951219512195","0.48923076923076925","0.4982698961937716","0.48698481561822127","0","0","0"
"6","Q-Learning","tou","0","14","true","11","12","12","0.0767809317753939","0.20198675496688742","0.2560553633217993","0.265993265993266","0.2508710801393728","0.24307692307692308","0.2422145328719723","0.2440347071583514","1.1474837915759692","0.19389262734805454","0.644"
"5","Q-Learning","No-Charge","0","14","true","11","12","12","0.10190650548638551","0.4503311258278146","0.5190311418685121","0.5218855218855218","0.5609756097560976","0.6492307692307693","0.5467128027681661","0.5390455531453362","0","0","0"
"2","Exp-Decay","tou","0","14","true","11","12","12","0.08954318842225757","0.22185430463576158","0.3391003460207612","0.4175084175084175","0.4843205574912892","0.49538461538461537","0.3771626297577855","0.40238611713665945","1.1297205492370186","0.21600413193910156","1.0912"
"3","El Farol","No-Charge","0","14","true","11","11","11","0.1801787875892967","0.9370860927152318","0.916955017301038","0.9158249158249159","0.8989547038327527","0.9538461538461539","0.9307958477508651","0.9219088937093276","0","0","0"
"4","El Farol","tou","0","14","true","11","11","11","0.14986184438700206","0.9205298013245033","0.9204152249134948","0.9158249158249159","0.9059233449477352","0.9138461538461539","0.9152249134948097","0.9154013015184381","1.1795404865767194","0.21947359953841392","2.6376"
"1","Exp-Decay","No-Charge","0","14","true","11","12","12","0.12941331229198477","0.48344370860927155","0.4602076124567474","0.494949494949495","0.4843205574912892","0.5353846153846153","0.4982698961937716","0.4891540130151844","0","0","0"
"6","Q-Learning","tou","0","14","true","11","13","13","0.068459586421302","0.23841059602649006","0.2041522491349481","0.20875420875420875","0.2613240418118467","0.28","0.24567474048442905","0.23535791757049893","1.1612718263552733","0.19165425209960288","0.6328"
"2","Exp-Decay","tou","0","14","true","11","13","13","0.09831594291720476","0.27483443708609273","0.3391003460207612","0.4377104377104377","0.4425087108013937","0.5169230769230769","0.39792387543252594","0.4078091106290672","1.1003388389881863","0.21302648533530238","1.1392"
"5","Q-Learning","No-Charge","0","14","true","11","13","13","0.13626790502727046","0.5264900662251656","0.5501730103806228","0.6026936026936027","0.5574912891986062","0.6307692307692307","0.5761245674740484","0.5737527114967462","0","0","0"
"3","El Farol","No-Charge","0","14","true","11","12","12","0.15259258048027163","0.9139072847682119","0.9238754325259516","0.9393939393939394","0.9303135888501742","0.9138461538461539","0.9307958477508651","0.9197396963123644","0","0","0"
"4","El Farol","tou","0","14","true","11","12","12","0.17931638056418703","0.9238410596026491","0.9273356401384083","0.8922558922558923","0.9337979094076655","0.9230769230769231","0.9273356401384083","0.9154013015184381","1.1557484012995711","0.22221820043179483","2.652"
"1","Exp-Decay","No-Charge","0","14","true","11","13","13","0.13053830198110242","0.5099337748344371","0.5086505190311419","0.494949494949495","0.4843205574912892","0.5230769230769231","0.4913494809688581","0.5130151843817787","0","0","0"
"6","Q-Learning","tou","0","14","true","11","14","14","0.0603103396889508","0.20198675496688742","0.22145328719723184","0.21212121212121213","0.16376306620209058","0.23692307692307693","0.20069204152249134","0.21258134490238612","1.0795989342384535","0.19744174538407253","0.5696"
"2","Exp-Decay","tou","0","14","true","11","14","14","0.08905889101011208","0.24503311258278146","0.32525951557093424","0.4511784511784512","0.5261324041811847","0.4553846153846154","0.38581314878892736","0.40997830802603036","1.0789887830938036","0.21934018949800396","1.1312"
"5","Q-Learning","No-Charge","0","14","true","11","14","14","0.11364802405442351","0.5066225165562914","0.4740484429065744","0.5757575757575758","0.5714285714285714","0.6184615384615385","0.5570934256055363","0.5466377440347071","0","0","0"
"3","El Farol","No-Charge","0","14","true","11","13","13","0.16229706908843516","0.9437086092715232","0.9446366782006921","0.9393939393939394","0.926829268292683","0.9353846153846154","0.9307958477508651","0.9425162689804772","0","0","0"
"4","El Farol","tou","0","14","true","11","13","13","0.1764873873856267","0.9403973509933775","0.9238754325259516","0.9191919191919192","0.9128919860627178","0.9353846153846154","0.9256055363321799","0.9273318872017353","1.1858446963984335","0.22330478698191483","2.7248"
"1","Exp-Decay","No-Charge","0","14","true","11","14","14","0.1114426862540511","0.5596026490066225","0.5467128027681661","0.5050505050505051","0.5052264808362369","0.5446153846153846","0.5173010380622838","0.5422993492407809","0","0","0"
"3","El Farol","No-Charge","0","14","true","11","14","14","0.17035501231075326","0.9437086092715232","0.9377162629757786","0.9326599326599326","0.9407665505226481","0.9323076923076923","0.9307958477508651","0.9414316702819957","0","0","0"
"4","El Farol","tou","0","14","true","11","14","14","0.16613478511865346","0.9370860927152318","0.9307958477508651","0.9158249158249159","0.9163763066202091","0.9446153846153846","0.9186851211072664","0.9360086767895879","1.1363185997614778","0.222062125665206","2.648"
