"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"sensitivity-transit"
"08/04/2026 20:53:38:765 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","transit-penalty","n-sim-days","[step]","peak-vc-inner","current-sim-day","peak-vc-boundary","peak-vc-peripheral","optin-q 1","optin-q 2","optin-q 3","optin-q 4","optin-q 5","optin-tier 1","optin-tier 2","mean [fee-paid-today] of vehicles"
"5","Q-Learning","tou","1.5","14","2","0.10410630523879143","2","0.630201508183863","0.08628403501930425","0.4768211920529801","0.4809688581314879","0.5151515151515151","0.47735191637630664","0.49846153846153846","0.4757785467128028","0.49891540130151846","1.4376"
"2","Q-Learning","No-Charge","1.5","14","2","0.10410630523879143","2","0.630201508183863","0.08628403501930425","0.4768211920529801","0.4809688581314879","0.5151515151515151","0.47735191637630664","0.49846153846153846","0.4757785467128028","0.49891540130151846","0"
"3","Q-Learning","No-Charge","3","14","2","0.10410630523879143","2","0.630201508183863","0.08628403501930425","0.4768211920529801","0.4809688581314879","0.5151515151515151","0.47735191637630664","0.49846153846153846","0.4757785467128028","0.49891540130151846","0"
"6","Q-Learning","tou","3","14","2","0.10410630523879143","2","0.630201508183863","0.08628403501930425","0.4768211920529801","0.4809688581314879","0.5151515151515151","0.47735191637630664","0.49846153846153846","0.4757785467128028","0.49891540130151846","1.4376"
"4","Q-Learning","tou","0","14","3","0.11214837710042055","3","0.5217773855205381","0.08438195675773415","0.423841059602649","0.4671280276816609","0.5016835016835017","0.42857142857142855","0.4461538461538462","0.43252595155709345","0.46637744034707157","1.2872"
"5","Q-Learning","tou","1.5","14","3","0.12165229268967133","3","0.5184647161156772","0.08231165364967487","0.4735099337748344","0.5121107266435986","0.5117845117845118","0.47038327526132406","0.48615384615384616","0.44982698961937717","0.5162689804772235","1.408"
"1","Q-Learning","No-Charge","0","14","3","0.1480819619967943","3","0.5186048796917587","0.08251417966536041","0.49337748344370863","0.5294117647058824","0.5218855218855218","0.5505226480836237","0.5323076923076923","0.49480968858131485","0.544468546637744","0"
"2","Q-Learning","No-Charge","1.5","14","3","0.15089821708351897","3","0.5401664852849177","0.0885498395360446","0.5529801324503312","0.5743944636678201","0.5454545454545454","0.5958188153310104","0.563076923076923","0.5224913494809689","0.5932754880694143","0"
"3","Q-Learning","No-Charge","3","14","3","0.15600148346960885","3","0.527813155931344","0.09130914123975582","0.5662251655629139","0.5916955017301038","0.5521885521885522","0.6062717770034843","0.5692307692307692","0.5449826989619377","0.596529284164859","0"
"6","Q-Learning","tou","3","14","3","0.13810026231929803","3","0.5661274390303875","0.07941057425517732","0.4966887417218543","0.5224913494809689","0.5252525252525253","0.47735191637630664","0.49538461538461537","0.4740484429065744","0.5216919739696312","1.4488"
"4","Q-Learning","tou","0","14","4","0.11034559396121439","4","0.5044614713810618","0.07835561945475061","0.4304635761589404","0.4671280276816609","0.41414141414141414","0.43205574912891986","0.42153846153846153","0.43944636678200694","0.4284164859002169","1.2296"
"5","Q-Learning","tou","1.5","14","4","0.1274685949960614","4","0.49080860170860285","0.08261258538452751","0.4470198675496689","0.5224913494809689","0.4511784511784512","0.4878048780487805","0.4492307692307692","0.4602076124567474","0.4772234273318872","1.364"
"1","Q-Learning","No-Charge","0","14","4","0.1093046994075378","4","0.5803369601274648","0.0971987226740995","0.49337748344370863","0.5224913494809689","0.5252525252525253","0.4878048780487805","0.56","0.4982698961937716","0.5314533622559653","0"
"6","Q-Learning","tou","3","14","4","0.11918511915380658","4","0.5145971436127316","0.07893669574678051","0.5165562913907285","0.48788927335640137","0.5016835016835017","0.45993031358885017","0.4646153846153846","0.47923875432525953","0.49023861171366595","1.388"
