day,rule,regime,hour,fA,fB,fC,fD,fE,fF
2,El Farol,tou,0,345094.7725910734,203009.24723800112,85021.20919242063,27484.308859880523,13827.476971158116,64669.46833979614
2,El Farol,tou,1,321476.6994855953,147089.02830118756,59471.008775056835,42563.341647768655,17508.161233355815,59125.991557442656
2,El Farol,tou,2,323449.3774549536,113653.95403253014,52339.9238083533,38649.560427936005,14544.570492279909,61355.3427491996
2,El Farol,tou,3,320970.72288699757,105437.61140412587,58044.558364178265,23426.095182204655,11494.250940302132,46781.393577913535
2,El Farol,tou,4,343273.37596720544,108456.11037304673,64128.8489755607,29703.332463708215,11133.438507073288,48949.88607260669
3,El Farol,tou,5,131559.90385194728,22305.382861599715,4990.3487988733905,2832.199377495897,4046.3695719686525,1154.7935944299568
3,El Farol,tou,6,321858.66227824485,230562.38898232044,125176.78751482445,82419.10236950983,42355.61443382686,114679.51791240668
3,El Farol,tou,7,187451.872781016,208385.99568287274,361613.34155762853,342950.2673669811,231156.34146407424,1139735.083010867
3,El Farol,tou,8,84013.58446212808,135751.006754903,240436.6162099827,259539.3018025583,184302.07635202893,4325906.1936492575
3,El Farol,tou,9,69775.25182504731,124917.91561174006,205973.31510247468,225424.41102002162,177045.48608716432,5711092.640258783
3,El Farol,tou,10,80700.11603406888,151577.09320360824,188670.8258264499,200594.30922078792,243973.02160907572,4974682.167946973
3,El Farol,tou,11,107843.41431879376,202149.55214938652,191941.69331355282,257578.49257714802,207759.6934476653,3568275.3424629862
3,El Farol,tou,12,147887.31460497595,190380.0390669394,263308.89214388136,298767.3802830444,291243.9329918732,2393034.876391218
3,El Farol,tou,13,149825.12072869774,176321.13543886325,280548.7432245546,291441.406600552,309930.72996471234,2187360.9390154793
3,El Farol,tou,14,147850.6217131871,198248.76173671513,293158.5017168249,325263.65586169047,271094.06955551036,2063671.5730034134
3,El Farol,tou,15,159017.03065068283,182230.61215062396,254484.49751664003,339173.5133805409,266486.01356970705,2097245.7072705794
3,El Farol,tou,16,115538.74014550104,166072.79333379664,289770.235624479,320107.6660976605,217238.16730423368,2667354.2460926436
3,El Farol,tou,17,106167.58490966346,151809.45997715995,244310.10224465694,227639.01181581026,246497.73358530086,3439879.3215524782
3,El Farol,tou,18,108192.22300049591,159836.37594219187,226514.5066628691,161810.92586035305,230711.07763167802,3856441.0772684286
3,El Farol,tou,19,114973.1722903865,178092.73174266363,238369.91139985397,202588.7587861472,242826.29999793618,3386072.1912364303
3,El Farol,tou,20,142186.13730581786,191472.04233146433,228102.84888110688,337600.5443544112,322867.58905462606,2254742.1777833933
3,El Farol,tou,21,170879.67619544425,212033.07959364334,259641.88532364994,487108.0653748771,271495.6585663542,1219604.4334624093
3,El Farol,tou,22,201879.11673951015,286320.1985486432,363014.0811505262,324356.1708607191,177141.58370301288,522931.8621499814
3,El Farol,tou,23,296488.9324987704,296088.0467917414,216036.38150906487,127431.49709810078,71664.65549227074,186001.51471086833
3,El Farol,tou,0,333452.8329007012,234122.6645680687,100830.23243189963,71889.25907673166,29881.869445206114,88413.50734790719
3,El Farol,tou,1,335198.340629637,157924.23418640302,81144.84127458865,23418.841556594238,9552.13099698526,52320.11525699329
3,El Farol,tou,2,309602.10957139434,94644.11198101615,46863.223161835784,17928.488341636923,2176.4334977568633,33399.308092017294
3,El Farol,tou,3,305107.52927258273,81642.17664756763,59293.19546591954,27150.401143839863,3318.455950877517,36589.07852883107
3,El Farol,tou,4,307938.62514934473,100984.88627039838,57479.40674424762,26489.46939144061,11706.124385257037,41149.29466097648
4,El Farol,tou,5,141721.45014396546,16526.698644150085,7611.307257454238,2111.276358262398,2253.582807221506,4698.228604959818
4,El Farol,tou,6,287739.7190659508,239699.51800324226,185186.15523134562,94478.28831338692,63504.98649934901,194177.5115273876
4,El Farol,tou,7,158600.11463926896,207656.5372117863,353826.33582327195,364093.8287274122,214863.58601956823,1447881.4804349388
4,El Farol,tou,8,95809.45319244434,182045.35130106492,214591.7924701351,215422.76334647203,174755.97820150704,4246799.076956329
4,El Farol,tou,9,71668.79920716913,157727.25480996424,209148.4896561687,223456.21916029387,163296.99567427597,5603985.820467406
4,El Farol,tou,10,87961.52816791604,162976.29199092963,208094.32698809757,215893.49284326463,212438.2502323069,4752661.412775048
4,El Farol,tou,11,130566.97447326223,178604.88433662246,222054.29130991074,275609.13911248074,225012.1192705967,3326949.813146476
4,El Farol,tou,12,136867.23168868516,188611.90541047193,267791.81905390025,290010.77536779345,313313.3214122613,2334484.228942676
4,El Farol,tou,13,148172.79171223193,177808.7804950313,276318.80545040243,426121.46271150204,266044.91519691894,1979402.2735107744
4,El Farol,tou,14,151314.25126027342,165258.53389623287,330049.28276885854,494365.21783514123,216612.03184540613,1815748.0131491376
4,El Farol,tou,15,141895.58533038918,176425.1293199786,283567.92793981597,472016.61012684094,308762.1828499922,1839770.7828608842
4,El Farol,tou,16,108384.59439858647,193982.1050782601,245540.4349734518,305510.22930445534,326884.694941533,2638979.1834212174
4,El Farol,tou,17,97063.87952235587,193119.52764724285,212470.75204105544,263221.1887220848,235567.39470537793,3561790.8957742294
4,El Farol,tou,18,92623.4024134309,194729.52454043087,203210.72882784664,209505.42685675324,256825.19709418723,3955654.523509121
4,El Farol,tou,19,103229.12982791389,185073.0564979315,222784.4690831787,310823.87918653665,277719.22884176264,3233028.6998053584
4,El Farol,tou,20,144958.85477423176,186977.230347161,249010.9893173567,497888.35171079356,255508.43420129636,1959642.8796501071
4,El Farol,tou,21,193971.28936720642,203224.85381027337,378846.178482343,354885.95845923387,278971.0912991637,1111147.7429077001
4,El Farol,tou,22,232945.07816825027,315667.5414922502,363321.4789680033,255313.24405174633,143087.14628129776,374983.39236004406
4,El Farol,tou,23,350655.5107994132,300507.2038976845,170852.13679259125,118857.89916491047,41256.757764186565,104649.5088583788
4,El Farol,tou,0,387569.7877377199,191386.54508393997,120758.27080774163,59577.923311044906,22434.016148959963,64059.490161428424
4,El Farol,tou,1,363931.4173601651,141204.36135989518,55972.2338934728,24526.631531772724,8582.83476426616,46429.47239651154
4,El Farol,tou,2,352269.8785062711,113400.79169169771,47775.53266164332,17782.177581691227,10840.265185930768,45308.60422237563
4,El Farol,tou,3,312870.1392488051,153332.65950151443,69419.86240777842,30948.918706875753,9505.473576281018,67084.44766875416
4,El Farol,tou,4,354338.7944086874,149554.4847262878,59124.63787093556,34531.68887432461,9812.375979362425,57313.53718992391
5,El Farol,tou,5,145980.44241294177,18732.484467062004,7438.0307945286595,3803.0309370011114,2386.661356131122,12100.895416755722
5,El Farol,tou,6,320173.7861106751,219680.9857292069,108516.40012623985,75899.9215671287,34667.407611056224,121724.9233225596
5,El Farol,tou,7,149443.1772522661,199432.17896793803,331535.08425865363,393782.77111890283,260593.3909016398,1369491.7379708574
5,El Farol,tou,8,82491.25705080663,156183.33269266612,236764.11732707723,189180.1665776142,163244.07847579668,4638678.07126108
5,El Farol,tou,9,61586.644612402495,112297.91875605044,241231.5052981208,199795.2974551988,163604.20213769932,5946193.64558225
5,El Farol,tou,10,68157.15602812749,139396.3194683086,250852.39797623898,240030.72637774044,151470.1122827432,4977995.90334414
5,El Farol,tou,11,114617.47727622197,183751.28763179525,217581.86262461092,253700.41484531277,195072.1356446011,3628041.198462081
5,El Farol,tou,12,127378.33606851049,196782.8417439936,236049.89266901984,315639.20233443426,287289.6690188167,2648150.1530458373
5,El Farol,tou,13,129140.07039363791,213925.95825912425,284180.8820961256,395968.76693424734,266516.91306351195,2081272.0810678252
5,El Farol,tou,14,151415.0195453032,203565.57999847582,319652.24114717415,437962.06119163014,159339.48355374768,1934470.514515929
5,El Farol,tou,15,153825.19545711033,202717.05556810243,278207.25897330634,393793.42201983195,218853.44267491996,2080095.8041763683
5,El Farol,tou,16,145573.21061296345,191559.26275169416,188926.1782767389,348554.2680047129,304571.76936983777,2562355.484687035
5,El Farol,tou,17,118619.64067182233,197629.56679790738,199831.10494558065,195626.405026107,276890.27455058217,3267048.8071779883
5,El Farol,tou,18,105608.98749686673,199259.49100521326,190188.26839799053,279540.9158970141,140824.50112901026,3530239.12370659
5,El Farol,tou,19,123396.99530553272,172123.75404796522,210921.11185332751,248825.31913510078,278801.1845271083,3051289.501935372
5,El Farol,tou,20,153500.10951332154,153714.82720323553,227712.6377314294,409321.92158784193,322132.3303792566,2087315.0444454015
5,El Farol,tou,21,191687.9484139299,202499.19361674032,389603.1824822863,390109.43598438613,258271.23339068115,953430.3165072282
5,El Farol,tou,22,259049.2898844879,328737.4533892184,343555.4150880955,188173.61016004445,69802.77924316913,227520.95547020528
5,El Farol,tou,23,328699.8636863883,258836.84829667688,169412.94529805292,69996.91937897449,41428.139032070765,107505.70284320267
5,El Farol,tou,0,397313.9349817529,159484.87662832197,117424.03658727027,50245.8348873138,19975.815178779234,63039.151472303965
5,El Farol,tou,1,346638.1407704979,151619.96603539982,101752.71154614519,53397.15185029536,5172.746190027175,67341.1755913986
5,El Farol,tou,2,366175.95768451854,98586.4558797029,83674.97171324944,20676.052815098243,15192.844625904325,55788.555670952876
5,El Farol,tou,3,324536.83101638383,96638.04324681591,82129.39563715782,28029.193533695172,3657.213791954335,31543.397114168492
5,El Farol,tou,4,341051.59893374867,106992.56644412536,78068.62862474225,12296.200185539627,1303.6313037945513,34953.20950879582
6,El Farol,tou,5,183482.9397600769,39835.86358319832,17285.146233988155,9151.722023509303,3433.193710648591,14599.655175897024
6,El Farol,tou,6,287904.7265887666,211874.86356015684,184371.0763588325,121921.22812101114,43290.12292932293,123603.05887221362
6,El Farol,tou,7,169921.0750484807,169867.70620455005,312620.72518848896,391520.43541315827,262445.8151057612,1434558.7356257015
6,El Farol,tou,8,98850.93681109001,136295.93002262744,178016.35898526732,226888.91387783716,264100.69701825763,4359721.614887734
6,El Farol,tou,9,70151.92193547849,126579.5495064797,182728.29059457986,228794.175636556,169084.84551629945,5902398.761783036
6,El Farol,tou,10,77660.41386950704,136108.27137382253,207123.02946077473,213981.77230862706,193327.99047925416,5205080.504019945
6,El Farol,tou,11,103662.64731936068,188983.1605241016,200430.20321839585,271397.83856159763,233044.30779772674,3646945.5040959786
6,El Farol,tou,12,130161.29384353856,208501.69053864657,260087.59529411152,337441.92746833985,321191.69076812774,2381489.577015754
6,El Farol,tou,13,166112.0583477085,196678.69134777895,252480.13934084852,450590.5492882966,204638.24492752645,1949657.4709821304
6,El Farol,tou,14,163773.54900347113,182379.31846914272,384239.8655151983,288718.87153251446,226699.3954526013,1858864.8582024327
6,El Farol,tou,15,154909.23856560327,211283.20386490837,258782.55942988634,367197.6783503505,268615.55755716265,1902231.6267309284
6,El Farol,tou,16,128186.17980447973,193993.11003614074,224269.9200492421,259616.46158856314,274237.4832821177,2838886.3929702737
6,El Farol,tou,17,104437.27227901084,152853.47971445843,226208.83065034746,222513.47540190347,222331.82283055622,3705120.831712082
6,El Farol,tou,18,100461.54522355167,169545.16943920145,219040.94259692702,201019.201586602,218576.44174775286,3877658.049937966
6,El Farol,tou,19,111416.3620203043,186955.2824304265,230710.15396099776,220960.46601632054,249286.5792424724,3345018.1855270676
6,El Farol,tou,20,129770.68720327807,223231.0094300715,272332.2978855675,291023.8040203322,292788.5078070863,2262391.296904188
6,El Farol,tou,21,193354.20406817272,220482.18327387242,353126.1332773488,328090.41963454895,236564.23172783726,1119332.2941059691
6,El Farol,tou,22,217780.16813347032,322249.275032073,338155.72914190876,212556.61392766293,117965.48265166536,320729.64020166907
6,El Farol,tou,23,313940.95256859064,266118.2504676024,162142.07929511816,78397.56732597391,22239.80384070919,120416.5907039918
6,El Farol,tou,0,349070.9362171527,192383.14953959844,78793.29050327826,33604.96029490406,30231.275104266915,92928.11896725108
6,El Farol,tou,1,401476.9483585597,102176.30085211457,41875.43743476622,21374.60305407422,15952.192564956189,52381.85303707542
6,El Farol,tou,2,381371.0273354734,116848.9665633997,36915.95503341146,17764.277217486753,5908.718248247154,36673.87767566515
6,El Farol,tou,3,357243.8810683299,91420.82444245095,36694.748148731145,8590.680425402572,3517.031239167229,30021.721141177608
6,El Farol,tou,4,303690.96274137584,55707.949571020086,6518.9240619254115,4697.386425181171,7395.667058292774,13258.552428008064
7,El Farol,tou,5,153374.7227088416,21457.93994599297,13252.095089162489,6509.2455258462915,2677.26843753127,3548.8563986001327
7,El Farol,tou,6,306735.1304410862,285555.20485439454,104625.47355320257,79582.23505782493,59589.051729105835,157344.15835247704
7,El Farol,tou,7,164846.87551391302,220238.70819160127,308937.8681598424,387383.82874578837,237819.09742060548,1302833.8704911757
7,El Farol,tou,8,82044.52468450564,165761.75926707228,221565.44266271763,227435.93497389584,172912.87583183273,4537436.447264316
7,El Farol,tou,9,67479.93962976767,144835.7566204174,218248.06806949613,208113.4845941969,149544.087813697,5763593.71358605
7,El Farol,tou,10,68585.58087812837,160599.02612239454,219464.91404789325,235646.55581047884,186158.60283426012,4989955.437472612
7,El Farol,tou,11,96084.94840713835,183574.16061299542,247570.1706225442,324654.1925727782,264267.1320825788,3327642.729421281
7,El Farol,tou,12,135418.51771886798,170951.17952160802,307574.81254212314,306533.7246591101,290962.3511073992,2299854.5465036402
7,El Farol,tou,13,129937.00308977862,195313.73031225556,274531.2853252818,318244.1003666531,248904.04285819668,2194136.082570623
7,El Farol,tou,14,148546.78889580097,174901.58941204246,297589.65929370397,243304.24768065978,341386.6860249415,2043550.395963242
7,El Farol,tou,15,150539.14235412632,207309.860020942,237017.2204210615,360528.2131266938,329015.34845379624,1965832.2057890927
7,El Farol,tou,16,139375.8140632022,182979.1481951552,182936.77544644187,303161.9298515725,361881.7872937113,2622581.6481985482
7,El Farol,tou,17,117737.8395647407,160295.86536992807,184022.31136665857,260921.98115753595,275404.06754173496,3632621.639270337
7,El Farol,tou,18,106349.8291090626,157925.1761100283,230841.59503866182,151181.1221425127,250423.97522194544,3900066.777985213
7,El Farol,tou,19,124712.09409959365,183402.96026268165,185094.66958785223,237420.1571162797,284213.10001368244,3296335.154124389
7,El Farol,tou,20,161044.9331600949,168325.57989677804,216932.6378155048,342333.42765673023,325940.4607820149,2202413.50790122
7,El Farol,tou,21,185690.4339397068,209914.46069374864,396431.30908532144,349157.6253312996,228439.39429905196,1073385.2937512284
7,El Farol,tou,22,259499.0819044036,284364.7216998745,344266.42095896095,184614.96822535514,109467.85455834786,351979.01938880875
7,El Farol,tou,23,343334.76030739414,274742.6578096856,143554.7851679299,52860.49605731165,42507.45541422509,102093.94567458093
7,El Farol,tou,0,384144.8915518159,172388.35309351524,72024.90395874158,34270.39278969191,19097.16461494258,53296.351266169564
7,El Farol,tou,1,369300.29349826754,123250.44143505408,65083.689637734235,26325.967881204157,7755.986319101229,44097.81808467846
7,El Farol,tou,2,368961.9849873859,99710.24139065883,43100.20042760878,10452.950925994142,6163.61856383406,37863.948691921454
7,El Farol,tou,3,356748.14122877875,72093.34233241118,32933.046695299294,11682.390538401705,3216.9804081709894,33626.05354237439
7,El Farol,tou,4,342119.02778067725,74059.53130622966,46104.31121846091,12242.707120512301,2388.3953755948073,38319.79934155188
8,El Farol,tou,5,132247.70225586387,26019.150525556317,4907.3098595165775,1866.4490859886275,2168.3803609104125,7590.050294076524
8,El Farol,tou,6,301721.8445657326,228373.46445641792,155617.86515212778,110425.69493101932,84709.475215128,147362.73806990086
