"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"rerouting"
"07/28/2026 06:02:25:027 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","allow-rerouting?","allow-retiming?","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-vc-boundary","peak-vc-peripheral","count vehicles with [enters-cbd? = true]","table:length path-cache","peak-ef-cbd","peak-ef-mwy","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""MWY"""
"6","Q-Learning","tou","true","false","14","5","5","0.17130551668558336","0.20620232780061704","0.06174140506706563","573","4739","93.98738563454131","81.38385148640914","78.43489808515949","42.38407603431692"
"4","El Farol","tou","true","false","14","4","4","0.3176702894660147","0.21832703866633676","0.1124388368469388","1375","6856","98.31655131001978","90.77173571250219","94.0998618141565","72.33995883921081"
"3","El Farol","No-Charge","true","false","14","4","4","0.1873949290532713","0.31783323572805705","0.1266448516968926","1388","6867","98.50161319596769","82.61439594018442","91.38896681106476","62.43701286674116"
"1","Exp-Decay","No-Charge","true","false","14","5","5","0.24208100352006365","0.21031967116824132","0.06285709685803942","830","5425","93.14052086610717","89.09805315442955","88.53000940248344","53.29944785480206"
"5","Q-Learning","No-Charge","true","false","14","5","5","0.1991705157011571","0.3304860536300857","0.06197732809589753","769","5251","93.44077164265356","88.53441581776462","84.75186530924896","56.58756846278603"
"2","Exp-Decay","tou","true","false","14","6","6","0.15733503086517098","0.23895107736817398","0.06090948283557924","626","4864","93.14761718527862","80.69523688255126","79.03804813602447","37.44879275948182"
"6","Q-Learning","tou","true","false","14","6","6","0.1438647255690941","0.11637836702768303","0.05499217722325376","505","4571","89.88716396340149","73.43637100289831","78.51093523688762","43.27911390439934"
"1","Exp-Decay","No-Charge","true","false","14","6","6","0.19029742701958616","0.36230308622928326","0.06975048716619456","770","5254","95.55412221828766","91.58539978166546","87.46042665145016","53.00620232187738"
"5","Q-Learning","No-Charge","true","false","14","6","6","0.15229010482009286","0.19143859723005754","0.06182050181133532","785","5298","92.25336623369269","85.65571512217835","82.55512151514475","55.587647787972166"
"4","El Farol","tou","true","false","14","5","5","0.20018199170019346","0.40588687400429746","0.10698458440858553","1386","6895","98.32237132549871","91.5451313602465","93.89776110007952","74.59951012864276"
"3","El Farol","No-Charge","true","false","14","5","5","0.15244748878297779","0.4124814641781617","0.17751113393550152","1390","6925","95.64631963691998","88.12692481514243","91.35130517791521","59.971482927963976"
"2","Exp-Decay","tou","true","false","14","7","7","0.10832422824862831","0.17076679917319745","0.05038489334496171","621","4863","91.28259436333283","89.0124707371037","79.97319517632266","37.567119127299755"
"6","Q-Learning","tou","true","false","14","7","7","0.12181706420666602","0.1828424801330409","0.04897677253447899","488","4526","90.53745062811979","86.52178450111748","78.5021349541206","47.99464128329667"
"1","Exp-Decay","No-Charge","true","false","14","7","7","0.15458112790063264","0.19469543579513188","0.06973408467267898","793","5300","94.21729034035525","90.56276856830496","87.44576334325153","53.40235417910808"
"5","Q-Learning","No-Charge","true","false","14","7","7","0.1744899612107264","0.1608839817884648","0.06896492599140108","783","5354","95.86656896116274","65.38936952109472","83.64748341780788","53.80592015625386"
"4","El Farol","tou","true","false","14","6","6","0.2551432085093529","0.3112876142544944","0.1320721663536337","1394","6916","98.50571226549789","85.39150271944735","94.36756969173845","71.93834591057917"
"3","El Farol","No-Charge","true","false","14","6","6","0.21768401300671095","0.2703349538045889","0.18270090750054238","1382","6881","96.99891842315672","89.65144284192918","93.33734808430418","61.755714599699104"
"6","Q-Learning","tou","true","false","14","8","8","0.14708903667101186","0.19614188307794092","0.05354855917496353","452","4421","85.71154259992264","89.97124133731015","76.20928170230977","47.53711417414259"
"2","Exp-Decay","tou","true","false","14","8","8","0.1281698224698278","0.10003519194212093","0.06892889003364082","618","4834","87.06604035383636","75.5593053028319","79.57688888878022","35.38643466218562"
"1","Exp-Decay","No-Charge","true","false","14","8","8","0.15368156355644103","0.2669076975057371","0.06698492465448272","805","5355","92.1131420112761","89.73867010480504","87.09953965671959","54.90280864046345"
"5","Q-Learning","No-Charge","true","false","14","8","8","0.11913471524398127","0.2339604382856657","0.06764771794979815","793","5315","96.87284280267812","77.02640640907323","82.72866157929664","48.36065032240553"
"6","Q-Learning","tou","true","false","14","9","9","0.10246357936182968","0.15694182862091216","0.06850096041628827","417","4281","90.95677888898273","78.99593685722952","75.51160844080624","47.68218856158311"
"2","Exp-Decay","tou","true","false","14","9","9","0.16164905117464198","0.13131810880103686","0.06391855894936263","644","4941","91.80612796388267","83.50949913828119","80.13030837980865","35.285132918077906"
"4","El Farol","tou","true","false","14","7","7","0.26298590889020546","0.37888288925589303","0.09821254768829521","1376","6866","98.89155888115589","91.72979484385651","95.81503253607515","72.70482523951512"
"3","El Farol","No-Charge","true","false","14","7","7","0.2186812305321578","0.4989319738295961","0.12570525912316502","1375","6898","97.1690946168684","93.87008466111736","93.3255535249716","64.4827457481236"
