"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"retiming-rerouting"
"07/28/2026 09:58:48:049 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","allow-rerouting?","allow-retiming?","sched-delay-cost","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-vc-boundary","peak-vc-peripheral","count vehicles with [enters-cbd? = true]","count vehicles with [hour-shift != 0]","table:length path-cache","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""MWY"""
"3","El Farol","No-Charge","true","true","0.6","14","11","11","0.22502997234215036","0.316266034257668","0.08777337043048793","1380","278","6894","95.72583974407148","74.08042110169865"
"1","Exp-Decay","No-Charge","true","true","0.6","14","14","14","0.14042397083994135","0.2082299683411807","0.0754081441738071","791","0","5290","88.04562711618388","64.15891617803018"
"6","Q-Learning","tou","true","true","0.6","14","13","13","0.1263556690070224","0.23018238172103833","0.04855399560692269","713","484","5105","86.05194457284323","61.35607711297497"
"5","Q-Learning","No-Charge","true","true","0.6","14","13","13","0.21482069392589756","0.27866029855660496","0.09145882161004469","1000","440","5878","92.79991959827288","61.43586949679139"
"4","El Farol","tou","true","true","0.6","14","12","12","0.2449901874516293","0.3088676684521007","0.10344057758624209","1386","262","6901","95.360564442003","76.24803221186373"
"3","El Farol","No-Charge","true","true","0.6","14","12","12","0.2449901874516293","0.3088676684521007","0.10344057758624209","1386","262","6901","95.360564442003","76.24803221186373"
"6","Q-Learning","tou","true","true","0.6","14","14","14","0.1253869773216035","0.15897144879171216","0.0920669483990095","724","491","5127","85.22646156617475","58.81858656240688"
"5","Q-Learning","No-Charge","true","true","0.6","14","14","14","0.18807524254841465","0.3475274254840422","0.0923667003088182","973","377","5782","92.48675992987988","62.19124783296079"
"4","El Farol","tou","true","true","0.6","14","13","13","0.2193072304734353","0.25452045364750403","0.08998877373406676","1389","255","6890","94.63306674875845","77.87578347544508"
"3","El Farol","No-Charge","true","true","0.6","14","13","13","0.2193072304734353","0.25452045364750403","0.08998877373406676","1389","255","6890","94.63306674875845","77.87578347544508"
"4","El Farol","tou","true","true","0.6","14","14","14","0.20526569044455364","0.4287411219519044","0.0977877899700079","1384","283","6940","94.06366181296133","78.60305358697161"
"3","El Farol","No-Charge","true","true","0.6","14","14","14","0.20526569044455364","0.4287411219519044","0.0977877899700079","1384","283","6940","94.06366181296133","78.60305358697161"
