link_id,sh,position,class,group,vc_peak,vcf_peak,los_peak,x1,y1,x2,y2,model_version
l_926,,inner,arterial,CBD,0.9601536245799329,6.091995839672211,F,95.58852214064525,59.28079368324104,95.62030721267492,59.82073639361597,v3-2026-07-30-trip-suppression-fix
l_651,,peripheral,arterial,East,1.2808197246237591,1.5648704999591114,F,85.80030734827638,14.54401975755038,85.91648209546244,14.947267311056983,v3-2026-07-30-trip-suppression-fix
l_1434,,peripheral,arterial,East,2.4929884699283265,1.3082161924232303,F,122.60582264572177,41.399308708747704,122.69221806781324,40.20851205380504,v3-2026-07-30-trip-suppression-fix
l_245,,peripheral,arterial,East,1.6634322151372332,9.825665391847128,F,101.01138621981251,16.585973676240414,101.68150962704725,16.38432238909062,v3-2026-07-30-trip-suppression-fix
l_2402,,inner,arterial,CBD,0.4660556159701724,2.3245463958690706,F,81.01008786227239,46.95650418119253,81.34710947838948,47.54485531979951,v3-2026-07-30-trip-suppression-fix
l_928,,peripheral,arterial,East,0.6990834239552587,6.532484070439662,F,68.46256018406585,30.32365092800221,68.89144154314862,31.180591059344565,v3-2026-07-30-trip-suppression-fix
l_1090,,inner,arterial,CBD,1.1108368304122438,14.430063852126283,F,60.774522595022184,47.24867825432507,60.851496141565626,46.70673368750483,v3-2026-07-30-trip-suppression-fix
l_787,,boundary,arterial,West,0.718562874251497,2.9662894601115224,F,57.25884768353421,64.12373676683629,57.75975764664811,64.16858437867349,v3-2026-07-30-trip-suppression-fix
l_1105,,peripheral,arterial,East,1.3175230566534915,5.098849420971629,F,65.28320945797132,21.78782265927026,65.5419863242516,21.674948605585637,v3-2026-07-30-trip-suppression-fix
l_227,,peripheral,arterial,East,0.8783487044356609,4.258819022999673,F,85.98618713567022,15.189215814380727,86.5916285183731,15.015838603926118,v3-2026-07-30-trip-suppression-fix
l_165,,peripheral,arterial,East,1.9243104554201411,10.676346379911438,F,121.55093622211334,38.473101832300074,122.3702396828615,39.26859188617043,v3-2026-07-30-trip-suppression-fix
l_1683,,peripheral,arterial,East,9.87045033929673,15.034110121957625,F,103.92326940394825,17.506958587856996,104.31538306862423,17.740704362018587,v3-2026-07-30-trip-suppression-fix
l_2045,,peripheral,arterial,West,0.9590792838874681,2.1118702314120243,F,51.231695100153715,59.15345114010011,51.81505949057667,58.95356243891223,v3-2026-07-30-trip-suppression-fix
l_850,,boundary,arterial,West,1.4730252255569876,6.4118799089436616,F,46.520830725619874,67.83419521457432,47.50995239258099,69.59980472525197,v3-2026-07-30-trip-suppression-fix
l_722,,boundary,arterial,West,0.8705114254624592,6.14759921252947,F,56.80777605478416,71.51022130093365,56.99111601630003,72.02035369645378,v3-2026-07-30-trip-suppression-fix
l_1766,SH1S,peripheral,motorway,MWY,0.1894736842105263,0.899718064428563,D,85.51529158202642,7.387236144932141,86.39065294600516,6.533190951974246,v3-2026-07-30-trip-suppression-fix
l_1377,,peripheral,arterial,East,2.32543117369679,6.234610735218025,F,103.2508411483498,52.76013109582854,103.9397946473381,52.39596848608203,v3-2026-07-30-trip-suppression-fix
l_1836,SH1N,peripheral,motorway,MWY,0.6,1.7667410946933981,F,27.578237516808805,87.82842725419826,32.51270910962398,82.98182240782904,v3-2026-07-30-trip-suppression-fix
l_459,,peripheral,arterial,East,1.293521612590277,0.36181848385622106,B,87.02028595681482,49.81818938328988,87.15738012577293,49.00485215917143,v3-2026-07-30-trip-suppression-fix
l_22,,inner,arterial,CBD,2.3781212841854935,10.113226055816227,F,83.50686915978318,71.39637099102198,84.65187825992689,70.9968135233585,v3-2026-07-30-trip-suppression-fix
l_624,,inner,arterial,CBD,0.8204567209079722,5.94191178834217,F,113.21563314092414,60.11501533830143,113.43853816851465,60.40815325388406,v3-2026-07-30-trip-suppression-fix
l_952,,inner,arterial,CBD,1.093942294543963,8.252924910444776,F,103.91347280868749,60.3152799633728,104.81217107922636,60.703961739510994,v3-2026-07-30-trip-suppression-fix
l_297,,peripheral,arterial,West,0.2729630135116692,0.38054600396751137,B,7.032410215232541,22.20427560395299,8.013247061251363,22.348633492839774,v3-2026-07-30-trip-suppression-fix
l_731,,peripheral,arterial,West,7.70910959784145,12.667666361016416,F,21.202821748040968,74.4855362290312,21.311067390560833,73.26739101638535,v3-2026-07-30-trip-suppression-fix
l_84,,boundary,arterial,West,1.9181585677749362,2.0150509532667997,F,60.365306313722996,55.715473433865334,60.64586369269479,55.60220742294849,v3-2026-07-30-trip-suppression-fix
l_505,,inner,arterial,CBD,2.830522467272084,5.301745935606291,F,69.11457928555151,56.203002006373694,69.71112581881982,57.89467136604405,v3-2026-07-30-trip-suppression-fix
l_457,,peripheral,arterial,West,0.47763095048559145,0.663417139709885,D,3.5933442076091624,48.29274966595289,4.01069811661876,48.52842067021391,v3-2026-07-30-trip-suppression-fix
l_177,,peripheral,arterial,East,16,17.015655014878007,F,90.31308370006009,58.540820628572924,90.9308499919602,57.85370365364385,v3-2026-07-30-trip-suppression-fix
l_145,,boundary,arterial,East,2.155688622754491,2.852478625048989,F,63.49660795418148,65.17115603487052,64.30431240757132,65.34547326977417,v3-2026-07-30-trip-suppression-fix
l_37,,peripheral,arterial,East,1.550287449131193,7.100426237968456,F,109.10643985620608,41.48908945611932,109.69226962005915,40.261969896212356,v3-2026-07-30-trip-suppression-fix
l_206,,peripheral,arterial,West,0.9552619009711829,1.2448224065026066,F,9.593175763770375,49.45416407566636,11.877776270513573,48.358668440892096,v3-2026-07-30-trip-suppression-fix
l_205,,inner,arterial,CBD,0.718562874251497,5.661358094754675,F,77.24241717509129,60.70156966704804,77.5234735835914,60.61529810113833,v3-2026-07-30-trip-suppression-fix
l_2486,,inner,arterial,CBD,0.7897854416216927,1.3818216691591287,F,82.50457703730733,75.84115997283072,82.88992485657327,75.65094779001757,v3-2026-07-30-trip-suppression-fix
l_1520,,peripheral,arterial,West,1.03971119133574,3.808757682838959,F,47.59617876818396,32.86944332563377,48.31868560840039,31.964323441884268,v3-2026-07-30-trip-suppression-fix
l_278,,peripheral,arterial,West,0.6245229338699604,4.488174599564603,F,41.986055435263715,7.918815309245112,42.33620669458588,8.047533513322234,v3-2026-07-30-trip-suppression-fix
l_2185,SH1S,peripheral,motorway,MWY,0.12631578947368421,0.29183798656454,A,88.58763038987404,4.276280946767307,89.32106543867857,3.6450025409067117,v3-2026-07-30-trip-suppression-fix
l_78,,inner,arterial,CBD,3.9154906599233215,6.5248775221773725,F,89.3955632419964,70.01709731542171,89.39873928521041,69.01705521567712,v3-2026-07-30-trip-suppression-fix
l_208,,inner,arterial,CBD,0.7062701090794946,4.194891625616454,F,57.578859904655694,37.82117309781113,58.14789152607042,38.02692282139855,v3-2026-07-30-trip-suppression-fix
l_247,,boundary,arterial,East,1.260107109104274,3.9014585706178093,F,82.82720406952839,46.46343850540144,83.04003216242377,46.21626127244332,v3-2026-07-30-trip-suppression-fix
l_240,,peripheral,arterial,West,1.0346165452429192,0.5206736347214829,C,34.62883258515349,0.24283073432664268,34.82097578557332,1.239292220401202,v3-2026-07-30-trip-suppression-fix
l_17,,inner,arterial,CBD,0.9788726649808304,6.460936682175906,F,89.39873928521041,69.01705521567712,89.52263422621802,68.66341403448585,v3-2026-07-30-trip-suppression-fix
l_217,,peripheral,arterial,West,0.9993337774816788,2.1686222263617374,F,18.153196678252467,21.70491167062366,20.09311420521459,23.183067412831576,v3-2026-07-30-trip-suppression-fix
l_2154,,peripheral,motorway,MWY,0.26666666666666666,0.3259865526046108,B,56.50542690938186,48.00283151305364,57.00066621402222,46.561331295919516,v3-2026-07-30-trip-suppression-fix
l_910,,peripheral,arterial,East,1.2828736369467608,10.672598015289097,F,114.8461036642214,34.51726830601215,115.3515094006383,34.8051317165802,v3-2026-07-30-trip-suppression-fix
l_378,,peripheral,arterial,East,3.57196011311207,5.8611826639711975,F,101.74352698554671,53.54490845556619,103.2508411483498,52.76013109582854,v3-2026-07-30-trip-suppression-fix
l_808,,peripheral,arterial,East,0.6467608062951385,5.5382863625871055,F,72.51738312095013,20.357134741317427,72.63653273477681,20.922492786809368,v3-2026-07-30-trip-suppression-fix
l_1208,SH16,peripheral,motorway,MWY,0.5647058823529412,3.1471398037192895,F,73.73092243212142,29.55078306457039,76.86036877778082,31.84428993706855,v3-2026-07-30-trip-suppression-fix
l_638,,peripheral,arterial,East,0.48007681228996646,5.814793267769436,F,90.51781523375381,69.56387505859115,90.96825170061823,69.23120704338076,v3-2026-07-30-trip-suppression-fix
l_512,,peripheral,arterial,East,0.5629574028898481,1.0512842395990012,F,121.14212573432141,20.12950421223557,121.53125983628613,20.014121861290874,v3-2026-07-30-trip-suppression-fix
l_943,,peripheral,arterial,West,0.42560737719453806,7.480370210378856,F,32.41904627356739,49.33591086365503,32.605257529280145,48.819012167605855,v3-2026-07-30-trip-suppression-fix
l_75,,peripheral,arterial,East,1.6634322151372332,9.972045278495347,F,99.9091660664164,16.930790692269245,101.01138621981251,16.585973676240414,v3-2026-07-30-trip-suppression-fix
l_246,,peripheral,arterial,West,0.8326972451599473,5.011113638662142,F,62.15842817136065,16.196837157858926,63.01787963772989,16.829647840958994,v3-2026-07-30-trip-suppression-fix
l_896,,boundary,arterial,West,2.520214218208548,3.661730689534981,F,60.98902377665546,61.24441366475997,61.484449617654434,60.9920624452506,v3-2026-07-30-trip-suppression-fix
l_2497,SH1N,boundary,motorway,MWY,0.26666666666666666,1.7889673704176348,F,49.268580488300465,69.45946102201226,49.36474344224883,67.59288241770346,v3-2026-07-30-trip-suppression-fix
l_2452,SH1S,peripheral,motorway,MWY,0.3157894736842105,3.1392909060704515,F,66.29036569802851,30.41774322411505,67.19612068495205,30.02267956789145,v3-2026-07-30-trip-suppression-fix
l_202,,boundary,arterial,West,1.1047689191677408,9.083370992308742,F,48.93391582845936,72.54659555733755,49.18592036398048,73.24465908987568,v3-2026-07-30-trip-suppression-fix
l_680,,inner,arterial,CBD,46.03580562659847,33.82278637747819,F,55.71851796387649,84.39476511545743,60.53463260160553,82.60360952623184,v3-2026-07-30-trip-suppression-fix
l_591,,peripheral,arterial,East,0.7751437245655965,5.890556538982857,F,109.33551067936077,23.484989208777264,109.64630901000582,23.830545156038095,v3-2026-07-30-trip-suppression-fix
l_1404,,inner,arterial,CBD,1.293521612590277,2.9117692644563613,F,86.39147628717548,53.424371483755564,86.68372484468301,52.77032123279098,v3-2026-07-30-trip-suppression-fix
l_539,,peripheral,arterial,East,1,8.762697836321097,F,102.6430421755195,10.825947730733448,102.80421995499638,11.309430453865668,v3-2026-07-30-trip-suppression-fix
l_295,,boundary,arterial,East,0.7201152184349496,6.064814791883929,F,95.59140926814194,60.605045122035285,95.62734219700089,60.19897868217845,v3-2026-07-30-trip-suppression-fix
l_612,,peripheral,arterial,West,0.6662225183211192,2.222059035351606,F,15.72932362367471,19.911227030447844,16.17033802430047,20.25454630502344,v3-2026-07-30-trip-suppression-fix
l_720,,peripheral,arterial,East,3.7394827048924895,8.289194074802387,F,122.52951825010169,41.968299058293844,122.60582264572177,41.399308708747704,v3-2026-07-30-trip-suppression-fix
l_525,,peripheral,arterial,East,1.9203072491598658,5.79904600553515,F,91.60778624894593,68.54368656404685,92.03296894979158,68.02229805492169,v3-2026-07-30-trip-suppression-fix
l_2473,,peripheral,motorway,MWY,0.5333333333333333,2.1166317640840786,F,54.83373062356441,38.68241247093793,54.85581067271784,37.51987161663921,v3-2026-07-30-trip-suppression-fix
l_746,,inner,arterial,CBD,6,14.647132343985637,F,87.4987260507792,61.53886562834153,87.90317081015102,61.07192236987932,v3-2026-07-30-trip-suppression-fix
l_747,,peripheral,arterial,East,2.4929884699283265,8.03127385599383,F,122.20863463755362,44.56887467562283,122.52951825010169,41.968299058293844,v3-2026-07-30-trip-suppression-fix
l_1837,,peripheral,arterial,West,0.34657039711191334,4.143581846569757,F,54.573612108611755,24.55237793946717,55.0507051747397,24.48955916017937,v3-2026-07-30-trip-suppression-fix
l_332,,inner,arterial,CBD,1.415261233636042,8.281221729456716,F,74.22918563108018,49.43310691861998,74.49349172307936,49.61741299843831,v3-2026-07-30-trip-suppression-fix
l_702,,peripheral,arterial,East,0.8774495466510676,1.4460010234075535,F,71.3291682956456,16.054818204487734,71.3993559895461,16.323788369085356,v3-2026-07-30-trip-suppression-fix
l_2639,,boundary,arterial,East,0.5155746509129968,7.595881190697776,F,63.20769144477789,62.473832463053,63.366814280569855,62.84927358523913,v3-2026-07-30-trip-suppression-fix
l_2590,,inner,arterial,CBD,0.39489272081084636,1.360648290159274,F,85.37493950857717,75.0064425633978,86.13030614591256,74.69414848581485,v3-2026-07-30-trip-suppression-fix
l_88,,peripheral,arterial,West,1.4328928514567743,1.0726054710374,F,5.2622748758372415,49.20841166111988,8.148804108213302,50.12899996174968,v3-2026-07-30-trip-suppression-fix
l_2514,,peripheral,arterial,West,2.892960462873674,4.465676084514766,F,27.39870104203018,82.94845957163265,27.458301659133134,82.45241249870897,v3-2026-07-30-trip-suppression-fix
l_2176,,peripheral,arterial,East,0,0,A,87.18797964508035,47.13945006673204,87.56965794537385,46.61887411575979,v3-2026-07-30-trip-suppression-fix
l_2212,,peripheral,arterial,West,0.6384110657918071,7.41067408814057,F,29.089758684259447,64.6394507985258,29.27796259617457,65.4197771837638,v3-2026-07-30-trip-suppression-fix
l_399,,boundary,arterial,East,14,16.603390091216916,F,88.82022876021257,60.109002418329815,90.31308370006009,58.540820628572924,v3-2026-07-30-trip-suppression-fix
l_2163,,boundary,arterial,East,0.9788726649808304,4.75364592931764,F,93.37341533518043,60.59214800095314,93.5320904956124,60.94055051244841,v3-2026-07-30-trip-suppression-fix
l_199,,inner,arterial,CBD,1.4268727705112962,9.93668166825245,F,81.5413821854528,72.10838629623474,82.16773103888916,71.8805917096322,v3-2026-07-30-trip-suppression-fix
l_1297,,boundary,arterial,East,0.7733619763694952,7.225914392456129,F,65.79091193583423,69.31801109504654,66.01824350958259,69.85435293678233,v3-2026-07-30-trip-suppression-fix
l_1366,,peripheral,arterial,West,0.4163486225799736,0.7042007669137241,D,53.61726759322485,11.570233857453232,53.90323809115761,11.75416517278411,v3-2026-07-30-trip-suppression-fix
l_675,,boundary,arterial,East,1.4125402181589892,6.932837132903363,F,68.85113321180147,37.235270555268315,70.51056461021132,36.4479250457801,v3-2026-07-30-trip-suppression-fix
l_1238,,inner,arterial,CBD,0.6181265614134493,0.9015402699868762,E,115.22481130650839,64.07750355878663,116.83375292982441,64.07451012846087,v3-2026-07-30-trip-suppression-fix
l_2093,,peripheral,arterial,West,2.312732879352435,12.20481370828407,F,19.89606651006187,85.10354362914642,19.910347990489626,85.88704028332418,v3-2026-07-30-trip-suppression-fix
l_2049,,boundary,arterial,East,1.093942294543963,2.9255806902356305,F,101.1613482400527,58.474587001941416,101.16638054128681,58.744760190886595,v3-2026-07-30-trip-suppression-fix
l_31,,peripheral,arterial,West,2.520214218208548,2.7360754713415965,F,56.114680226208456,63.388020240501945,56.17207625134482,64.14370402021895,v3-2026-07-30-trip-suppression-fix
l_2503,,peripheral,arterial,West,1.2490458677399208,4.8151716532130555,F,53.61726759322485,11.570233857453232,54.407503476894796,11.988138001938534,v3-2026-07-30-trip-suppression-fix
l_868,,peripheral,arterial,East,0.43917435221783047,4.265886958033141,F,88.17041892584936,14.58117929111355,88.75462858954545,14.435215825466882,v3-2026-07-30-trip-suppression-fix
l_1283,,peripheral,arterial,West,1.260107109104274,2.733636176792271,F,56.114680226208456,63.388020240501945,56.32606541401806,63.05982054201619,v3-2026-07-30-trip-suppression-fix
l_474,,peripheral,arterial,West,0.47763095048559145,1.0153661937606693,F,4.01069811661876,48.52842067021391,4.405337978853362,48.7104504788504,v3-2026-07-30-trip-suppression-fix
l_877,,peripheral,arterial,West,2.1697203471552555,8.755847649550557,F,25.103465392982685,76.14418209199061,25.445297927192893,77.00279068981494,v3-2026-07-30-trip-suppression-fix
l_740,,peripheral,arterial,West,2.151308712800287,8.142371640875746,F,32.69477780582291,9.764417161929732,33.39549101061578,7.670587376565519,v3-2026-07-30-trip-suppression-fix
l_1826,SH1N,inner,motorway,MWY,0.5333333333333333,2.714981922214338,F,55.91392852760065,34.77076307673768,57.25071742781802,32.989475821849105,v3-2026-07-30-trip-suppression-fix
l_587,,peripheral,arterial,East,0.6467608062951385,1.7534336059153133,F,82.54089711622093,35.71215703421988,82.74300274340413,36.059762791077446,v3-2026-07-30-trip-suppression-fix
l_734,,boundary,arterial,West,0.8512147543890761,8.01885301896862,F,43.75820054058184,35.777549300027054,44.466442142345834,35.27810071114708,v3-2026-07-30-trip-suppression-fix
l_2218,,inner,arterial,CBD,0.5923390812162695,2.989953165447347,F,97.40615461190092,69.32798405926783,98.5036345663708,68.71301775527895,v3-2026-07-30-trip-suppression-fix
l_2228,,inner,arterial,CBD,0.8782844177706213,2.924974965905089,F,60.54359895708543,48.874511597902,60.98773892815765,49.37984309580079,v3-2026-07-30-trip-suppression-fix
l_799,,peripheral,arterial,West,0.2729630135116692,1.1826265949902637,F,17.49372580376037,14.149578258261334,18.13872945476368,13.759473594685016,v3-2026-07-30-trip-suppression-fix
l_2689,,peripheral,arterial,East,0,0,A,66.91059619687547,20.61940244846136,67.10689087911975,20.48396774984945,v3-2026-07-30-trip-suppression-fix
l_2382,,boundary,arterial,East,0.8900316455696203,9.154157920179967,F,75.14637704604353,74.37686654868502,75.53466297520778,74.16527256262826,v3-2026-07-30-trip-suppression-fix
l_655,,peripheral,arterial,West,2.8092079594225514,2.192737810866338,F,34.91972039992311,42.2363815577569,36.278057499793505,42.80613344039605,v3-2026-07-30-trip-suppression-fix
l_1472,,inner,arterial,CBD,0.39489272081084636,2.883624893027714,F,96.91275782413499,69.68849071544473,97.40615461190092,69.32798405926783,v3-2026-07-30-trip-suppression-fix
l_951,,peripheral,arterial,West,0.2729630135116692,1.2200896985040817,F,34.12039286685029,19.954308666811688,34.80641616675846,20.61742786010533,v3-2026-07-30-trip-suppression-fix
l_572,,peripheral,arterial,West,0.4163486225799736,4.9858270641242575,F,59.346238922922744,15.762116970461204,59.782838745666176,15.862190012256894,v3-2026-07-30-trip-suppression-fix
l_1132,,boundary,arterial,West,3.5601265822784813,6.5075224670792595,F,56.68502148924751,69.56657895168362,58.181820089244304,69.37691690467969,v3-2026-07-30-trip-suppression-fix
l_1662,SH1N,peripheral,motorway,MWY,0.4,1.0262883718037425,F,24.217517569694923,94.32186840915018,25.298401125229688,96.8105361307028,v3-2026-07-30-trip-suppression-fix
l_639,,peripheral,arterial,East,0.7201152184349496,5.827683328395441,F,90.96825170061823,69.23120704338076,91.16086530039657,69.0654770496398,v3-2026-07-30-trip-suppression-fix
l_126,,inner,arterial,CBD,1.1108368304122438,8.190764338048702,F,61.263014156469026,40.72632073934408,61.33998282410627,40.18437565633962,v3-2026-07-30-trip-suppression-fix
l_690,,peripheral,arterial,West,0.8188890405350076,0.8259916697770767,E,14.18841608295176,20.047349898517552,14.363812522100684,18.936088409652413,v3-2026-07-30-trip-suppression-fix
l_79,,peripheral,arterial,West,1.00993098804915,1.1247189186104267,F,9.963388789742353,72.20338992364428,11.357448835104252,72.34024476797593,v3-2026-07-30-trip-suppression-fix
l_4,,peripheral,arterial,West,0.9993337774816788,2.4101908469959654,F,27.96122702398703,29.066517362682376,29.923016089908046,30.544188691556855,v3-2026-07-30-trip-suppression-fix
