"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"akl_traffic.nlogo"
"paper-figs"
"08/06/2026 04:31:00:197 +1200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"4","El Farol","tou","14","7","7","0.15049880136278176","0.8901107094308902","0.1236619299918313","94.75407298220641","93.75895069133044","92.75663498085763","86.55053859299817","91.12843134248233","89.28240661110405","89.71709082131751","83.90023832382958"
"3","El Farol","No-Charge","14","7","7","0.18232368977536134","0.840942553387716","0.1263972477391783","94.63168763607985","95.20328086589063","92.51355640203002","86.63500105173492","91.08759665726345","87.62798667962801","89.46612492990283","85.19403478103793"
"6","Q-Learning","tou","14","8","8","0.0810480701758994","0.33395340029800236","0.07645480786460856","92.21375786567357","82.29618796739507","91.58718903910764","85.39409728832835","86.46697507946668","77.11900277857299","82.73855434918983","82.44326563625796"
"2","Exp-Decay","tou","14","8","8","0.10587518845092354","0.35847349370932985","0.0814597883822205","91.46348475946795","85.63942519558401","88.71726048803369","86.43741586709653","86.44093707665486","75.12133820870639","83.05609038745051","82.98286939287921"
"5","Q-Learning","No-Charge","14","8","8","0.09404078768741456","0.527217550054426","0.07552044314621635","93.86765453651441","86.53671448638661","89.13199350493092","88.40152934764649","90.26041009184343","81.30681265422719","84.87595821779698","83.6112532769613"
"1","Exp-Decay","No-Charge","14","8","8","0.11424788896488958","0.5736228712669564","0.0903128525927484","92.85208574896934","90.55291573886639","93.06248849312308","86.76099703246713","90.13876919351134","82.4164602159141","85.86980549123902","83.70653626314815"
"4","El Farol","tou","14","8","8","0.1739997340271689","0.7216864109998353","0.1354366001434003","95.13004266539915","95.14204358220863","91.58728456171868","87.62523617601778","91.1088693715699","89.12649848677266","89.40431461540051","83.87618196769567"
"3","El Farol","No-Charge","14","8","8","0.15235157045399064","0.8216148506684748","0.10340631610259539","94.80861396791859","94.03853752218595","92.84121451506871","88.61724790080251","91.06140565953335","87.59614579262715","89.00858281256794","85.3001814185726"
"6","Q-Learning","tou","14","9","9","0.09745421967407844","0.46171985431717705","0.07675301844958397","92.63525696669463","79.06237279767211","90.44272358377823","85.9111765467705","86.39046983148954","76.07118917208447","81.9163642069346","82.51741157536972"
"2","Exp-Decay","tou","14","9","9","0.12130059304804415","0.5043177975072743","0.09141371146389118","93.30870932151655","84.36896497483353","89.25742567658041","84.94657850488716","86.35626320420675","75.71993302562575","83.21101762319174","83.19907221604299"
"5","Q-Learning","No-Charge","14","9","9","0.14079334853351239","0.6746365194873086","0.0933409403754006","93.91616859465879","88.63394959735099","89.6679985343544","85.40349701942593","90.24384930530249","81.592652271118","84.84849994360768","83.51911520427123"
"1","Exp-Decay","No-Charge","14","9","9","0.13044940525436283","0.542070172865404","0.08638343031726338","93.70445189095726","89.40715186327681","92.88327155549176","85.29146397245708","87.65883331921911","82.08429991256912","85.7235922539504","83.59049147097511"
"4","El Farol","tou","14","9","9","0.1433310825145338","0.8200016870884395","0.13677654984059634","94.35469252086804","94.48541944861837","91.78939033701722","85.68459531008082","91.09531056392447","89.21232947402153","89.73537284242003","83.57841511190219"
"3","El Farol","No-Charge","14","9","9","0.13853407218962868","0.7973099672982192","0.13078965465697165","94.94982173578023","93.68972881315958","91.80079737393459","86.45958684439532","91.03799971031458","88.216531814834","89.35846154199118","85.2199273415883"
"6","Q-Learning","tou","14","10","10","0.08338358407603656","0.3857743891442984","0.06162641639733232","92.77771648140697","78.88470373319849","87.69414246425346","85.3148562615868","86.38161996661238","74.97725731258662","82.46663927639239","82.0000108257585"
"2","Exp-Decay","tou","14","10","10","0.08350386627810372","0.5807612376839029","0.07329862302705979","91.67425654527796","77.73817121812934","89.94935054184941","85.70616748697974","86.30800821981438","75.62999758132518","83.20500210259074","83.230883659066"
"5","Q-Learning","No-Charge","14","10","10","0.10331703183784022","0.5420090338532156","0.09373491449748542","93.83411229267843","84.24261359822809","89.7805721802598","85.57141188148294","90.22376478226845","81.9742988129229","85.14380659862637","83.31060246522152"
"1","Exp-Decay","No-Charge","14","10","10","0.14869987350288433","0.5382596704832964","0.10308967943057196","93.14073770863298","89.70805821792402","89.95348537322333","86.61937583045558","87.62176491596964","82.3676568628527","85.80994636076237","83.58914432416533"
"4","El Farol","tou","14","10","10","0.1765865243493674","0.7791303936723538","0.1279995717361518","94.38476233204841","93.13942034534337","92.3779966069962","87.07963677647341","91.05341811559462","89.43761862947456","89.44304556285955","83.99861305840675"
"6","Q-Learning","tou","14","11","11","0.06560474753783954","0.35879023058015297","0.07135562414141801","93.11688476958115","79.91062731456078","90.91425662371823","85.43177563570896","86.33071080144468","74.5496318501223","81.43676598977707","81.99478594110148"
"3","El Farol","No-Charge","14","10","10","0.19557545186361408","0.794560063349153","0.12489757649576162","95.00854647484098","94.5613083497881","92.2817239554277","88.30250794756734","91.59665253856531","88.52363579455819","89.44719931191902","85.10551208746469"
