link_id,sh,position,class,group,vc_peak,vcf_peak,los_peak,x1,y1,x2,y2,model_version
l_525,,peripheral,arterial,East,1.4402304368698993,4.270452497227236,F,91.60778624894593,68.54368656404685,92.03296894979158,68.02229805492169,v3-2026-07-30-trip-suppression-fix
l_1141,,peripheral,arterial,West,6,9.58798659275636,F,50.71651428987713,59.51424531615079,51.231695100153715,59.15345114010011,v3-2026-07-30-trip-suppression-fix
l_28,,peripheral,arterial,West,0.4163486225799736,1.3101824604132961,F,44.39118388122156,8.685540657988398,44.95962645086957,8.864306542158666,v3-2026-07-30-trip-suppression-fix
l_683,,peripheral,arterial,West,0.7171029042667623,3.4867581449300746,F,32.076023128003456,11.586483453407137,32.15849146822054,11.341740268758956,v3-2026-07-30-trip-suppression-fix
l_346,,peripheral,arterial,West,0.4094445202675038,1.1517471254691587,F,16.358777119211265,15.089117718826287,17.49372580376037,14.149578258261334,v3-2026-07-30-trip-suppression-fix
l_2598,,inner,arterial,CBD,0.8900316455696203,4.192315116134209,F,51.69331233459002,71.2527771810869,52.622502093879426,70.9384375872627,v3-2026-07-30-trip-suppression-fix
l_798,,peripheral,arterial,East,1.162715586848395,5.719941589619622,F,111.88861187286386,27.49141390484622,112.29493053495209,28.29464074874688,v3-2026-07-30-trip-suppression-fix
l_855,,boundary,arterial,East,1.1867088607594938,4.115913135485339,F,70.54401738169513,73.5546576808655,71.09092346605954,73.73375866135535,v3-2026-07-30-trip-suppression-fix
l_164,,boundary,arterial,East,0.39489272081084636,1.4875392140406183,F,75.58989168565117,78.3263293368011,76.0433693550094,78.15579870266906,v3-2026-07-30-trip-suppression-fix
l_2213,,peripheral,motorway,MWY,2.1697203471552555,7.137008707968531,F,24.363999786618674,88.0491450436684,24.62481038678189,89.23354394905859,v3-2026-07-30-trip-suppression-fix
l_604,,peripheral,arterial,West,0.4163486225799736,2.677200061893187,F,57.47824904838939,14.661363814040484,57.831907494897834,14.97917767826356,v3-2026-07-30-trip-suppression-fix
l_1189,,peripheral,arterial,West,8,1.9278897930107433,F,51.58802133868618,51.33629838655588,52.97900184052111,51.31076716025642,v3-2026-07-30-trip-suppression-fix
l_1407,,peripheral,arterial,East,0.5953266855186784,0.9763234791945962,E,99.54522357902769,54.58575504633616,100.15026983076909,54.38532482947949,v3-2026-07-30-trip-suppression-fix
l_856,,boundary,arterial,West,0.8705114254624592,5.465600799931983,F,56.71536035006015,71.2146292231835,56.80777605478416,71.51022130093365,v3-2026-07-30-trip-suppression-fix
l_703,,inner,arterial,CBD,1.6844469399213926,3.5882782707463257,F,61.71436455584005,46.33951391972756,62.86214392946015,48.45347848858139,v3-2026-07-30-trip-suppression-fix
l_12,,inner,arterial,CBD,0.39489272081084636,1.4758826311633715,F,76.0433693550094,78.15579870266906,76.47510937163709,77.98566841891113,v3-2026-07-30-trip-suppression-fix
l_2647,SH16,peripheral,motorway,MWY,0.1411764705882353,0.566241258291576,C,8.30764198059244,11.046367011593231,8.980279509982317,10.980103187164117,v3-2026-07-30-trip-suppression-fix
l_1194,,inner,arterial,CBD,0.630053554552137,2.1598379694165324,F,80.43487564907198,49.94006221877742,80.69117831584225,49.69208389607326,v3-2026-07-30-trip-suppression-fix
l_677,,peripheral,arterial,East,0.15453164035336234,0.3903087726590215,B,134.76395624930927,61.33372528134379,135,61.16713814510359,v3-2026-07-30-trip-suppression-fix
l_495,,peripheral,arterial,West,0.6732873253661,0.795285763908435,D,5.1665294951604706,69.07428324444726,6.229478036781848,70.136056771095,v3-2026-07-30-trip-suppression-fix
l_138,,peripheral,arterial,West,0.6384110657918071,7.036105782940568,F,32.605257529280145,48.819012167605855,32.83295756051913,48.193250629268356,v3-2026-07-30-trip-suppression-fix
l_602,,peripheral,arterial,East,1.2828736369467608,9.670945139752865,F,116.16471022858158,35.276436523052126,116.60441641335288,35.538496593822366,v3-2026-07-30-trip-suppression-fix
l_1490,,peripheral,arterial,East,0.7957207904159851,11.071734807129848,F,93.38872481780083,50.88930525441124,93.65606475862629,51.2356914705003,v3-2026-07-30-trip-suppression-fix
l_901,,peripheral,arterial,West,1.00993098804915,9.969392874276636,F,28.666384370596415,67.64707834467366,29.051701669472546,67.31573675116461,v3-2026-07-30-trip-suppression-fix
l_619,,peripheral,arterial,West,0.6662225183211192,2.0809562787728586,F,15.26658007706328,19.568302020942355,15.509063138464636,19.753075667460394,v3-2026-07-30-trip-suppression-fix
l_662,,peripheral,arterial,East,1.4125402181589892,5.02923642967769,F,70.51056461021132,36.4479250457801,71.35164153001558,36.081063964939304,v3-2026-07-30-trip-suppression-fix
l_848,,peripheral,arterial,West,1.446480231436837,7.238396415063139,F,25.67302331002008,77.56619041915954,25.855796386435493,78.0493306162986,v3-2026-07-30-trip-suppression-fix
l_881,,peripheral,arterial,East,1.162715586848395,5.684310169645675,F,112.29493053495209,28.29464074874688,112.74875557728336,29.31319530064335,v3-2026-07-30-trip-suppression-fix
l_832,,peripheral,arterial,West,0.2729630135116692,0.8846199275893227,E,33.37412857840073,19.562551042555498,34.12039286685029,19.954308666811688,v3-2026-07-30-trip-suppression-fix
l_484,,peripheral,arterial,East,1.2808197246237591,1.2425261779385952,F,84.35024758592708,9.030415185966078,84.4901524895696,9.541330509440055,v3-2026-07-30-trip-suppression-fix
