link_id,class,group,position,adt_obs,veh_day_model,implied_k,vcf_am
l_2179,motorway,MWY,peripheral,95000,146445,0.13981358189081225,1.2250319314282745
l_976,arterial,East,peripheral,27324,20280,0.19230769230769232,0.517664921775154
l_2306,motorway,MWY,peripheral,85000,103623,0.15995483628152052,1.0371601609798182
l_280,arterial,East,peripheral,34625,15288,0.20408163265306123,0.35318993152129163
l_890,arterial,East,peripheral,34625,14976,0.20833333333333334,0.3417193400314446
l_930,arterial,West,peripheral,17823,7644,0.17857142857142858,0.35823695156629476
l_386,arterial,East,peripheral,15906,44421,0.13169446883230904,2.1232576368344382
l_822,arterial,CBD,inner,25748,17550,0.17777777777777778,0.4962570157547522
l_1606,arterial,West,peripheral,28822,7566,0.23195876288659795,0.2148648265923177
l_498,arterial,West,peripheral,17823,17472,0.18973214285714285,0.7284752452934621
l_267,arterial,East,peripheral,27324,15756,0.19801980198019803,0.489682428628947
l_1263,arterial,East,peripheral,27326,22386,0.156794425087108,0.4987250737819218
l_2311,arterial,East,peripheral,25748,36504,0.15491452991452992,0.9564760910376188
l_712,arterial,CBD,inner,25486,7995,0.24390243902439024,0.3117591885381211
l_1802,arterial,East,boundary,20224,60489,0.1289490651192779,2.031361850822385
l_1297,arterial,East,boundary,23275,11310,0.1896551724137931,0.3633069028362546
l_741,arterial,East,peripheral,18554,25740,0.15151515151515152,0.8878743005252235
l_458,arterial,West,peripheral,25486,18681,0.19832985386221294,0.5237271130994321
l_1067,arterial,East,peripheral,20157,29172,0.18716577540106952,1.1679829340459766
l_282,arterial,West,peripheral,18012,9789,0.17928286852589642,0.3884845942372426
l_137,arterial,CBD,inner,25486,84825,0.14022988505747128,2.5417103784859507
l_663,arterial,East,boundary,21939,33579,0.15098722415795587,1.107731354006468
l_523,arterial,West,peripheral,28195,61581,0.15832805573147563,1.8128568820758395
l_315,arterial,West,peripheral,12512,7059,0.27624309392265195,0.4300331294269224
l_798,arterial,East,peripheral,15481,26637,0.1683748169838946,1.328928492153351
l_873,arterial,CBD,inner,21939,68016,0.14621559633027523,2.3218013259765833
l_430,arterial,East,peripheral,15906,10998,0.2127659574468085,0.5107971927876354
l_2687,arterial,West,peripheral,6000,11427,0.22184300341296928,1.1398870045617935
l_807,arterial,East,peripheral,12000,4056,0.33653846153846156,0.23030776583984103
l_1570,motorway,MWY,peripheral,90000,507,0.7692307692307693,0.0033985691043428596
l_829,arterial,East,peripheral,9627,10296,0.15151515151515152,0.593601566258149
l_1542,arterial,East,peripheral,18554,27534,0.1558073654390935,0.9832372917523787
l_620,arterial,West,peripheral,18012,6201,0.22012578616352202,0.296793265378697
l_928,arterial,East,peripheral,25748,27183,0.15064562410329985,0.766977290091193
l_8,arterial,CBD,inner,8479,21996,0.1773049645390071,1.9711814636937783
l_90,arterial,West,peripheral,18012,6591,0.23668639053254437,0.2841659071503835
l_730,arterial,CBD,inner,8869,9243,0.2320675105485232,0.781666011852478
l_495,arterial,West,peripheral,17823,8424,0.20833333333333334,0.39353898185794156
l_805,arterial,East,peripheral,27324,13572,0.1867816091954023,0.3174565907505972
l_1000,arterial,West,peripheral,43962,13611,0.20057306590257878,0.25323394076588274
l_2678,motorway,MWY,boundary,90000,936,0.625,0.01107390515659568
l_159,arterial,East,peripheral,12000,3510,0.2777777777777778,0.21466062425862903
l_1410,arterial,West,peripheral,30484,53781,0.12690355329949238,1.304035900435607
l_71,arterial,West,peripheral,18012,9399,0.16597510373443983,0.3900954907033585
l_1588,arterial,CBD,inner,16700,21177,0.21178637200736647,0.8728106779797457
l_1730,arterial,West,peripheral,7783,12168,0.19230769230769232,1.4157779715493934
l_770,arterial,West,boundary,9523,11895,0.19672131147540983,0.8279020091162258
l_7,arterial,West,peripheral,43962,0,0,0
l_2171,arterial,West,peripheral,7783,12558,0.18633540372670807,1.4752600883001785
l_587,arterial,East,peripheral,18554,6318,0.18518518518518517,0.2306881934249406
l_1740,arterial,East,boundary,30388,10842,0.17985611510791366,0.2102736642270283
l_929,arterial,West,peripheral,23197,4953,0.1968503937007874,0.1671751583910268
l_1796,arterial,East,boundary,30388,20046,0.1556420233463035,0.48896976463668557
l_669,arterial,East,peripheral,10821,45552,0.14126712328767124,3.2700587505127663
l_2008,arterial,East,peripheral,27326,22581,0.15544041450777202,0.5097833289071033
l_1597,arterial,CBD,inner,30388,18954,0.15432098765432098,0.48438150817777076
l_1325,arterial,East,boundary,12615,5772,0.23648648648648649,0.3446150265439715
l_1060,arterial,East,peripheral,23275,11154,0.22727272727272727,0.3450737820876456
l_1472,arterial,CBD,inner,30388,22542,0.17301038062283736,0.5426965763426671
l_655,arterial,West,peripheral,12815,16029,0.19464720194647203,0.8650841340991898
l_2086,motorway,MWY,peripheral,85000,0,0,0
l_1319,arterial,East,boundary,12615,39975,0.16097560975609757,2.3755440859785333
l_147,arterial,East,peripheral,25748,46020,0.1483050847457627,1.3074977605116789
l_793,arterial,West,peripheral,16293,2574,0.30303030303030304,0.129926854185842
l_4,arterial,West,peripheral,18012,8463,0.18433179723502305,0.3546274106657505
l_379,arterial,West,peripheral,17823,16848,0.1736111111111111,0.6760032740944435
l_1199,motorway,MWY,boundary,90000,186030,0.12264150943396226,1.440174819608862
l_1895,arterial,East,peripheral,6446,20904,0.14925373134328357,1.926100910334233
l_2042,arterial,CBD,inner,12512,5928,0.19736842105263158,0.31306824437834696
l_1125,arterial,West,boundary,13785,4875,0.28,0.3101335403443358
l_1791,arterial,East,peripheral,21939,42081,0.15291936978683968,1.399880418540218
l_1438,arterial,East,peripheral,34625,16068,0.20631067961165048,0.37854247446339606
l_594,arterial,East,peripheral,15906,8775,0.2,0.38456343049129843
l_2394,arterial,CBD,inner,12793,4017,0.2912621359223301,0.2718176974060086
l_1804,arterial,East,peripheral,9523,20163,0.20309477756286268,1.5699440319252096
l_260,arterial,CBD,inner,18554,156,1.25,0
l_1208,motorway,MWY,peripheral,85000,121446,0.14290301862556198,1.0574891666407624
l_1273,arterial,West,peripheral,23275,8775,0.2,0.2226886710555233
l_1096,arterial,East,peripheral,27324,16146,0.1932367149758454,0.5039422671435538
l_337,arterial,West,peripheral,7783,12714,0.23006134969325154,1.5534201945775756
l_564,arterial,West,peripheral,34625,15600,0.2125,0.3617778903825808
l_136,arterial,East,peripheral,18554,4719,0.2066115702479339,0.1698840500707169
l_878,arterial,West,peripheral,16293,1794,0.32608695652173914,0.09098604208723828
l_2354,arterial,West,peripheral,8296,8814,0.22123893805309736,0.7785995264944972
l_279,arterial,West,peripheral,28822,6786,0.22988505747126436,0.1750037384482198
l_754,arterial,West,peripheral,30484,55497,0.13000702740688685,1.3431281311002619
l_1655,arterial,CBD,inner,9523,21255,0.1926605504587156,1.4704715899750145
l_497,arterial,West,peripheral,17823,13494,0.18786127167630057,0.5669995990417811
l_2204,arterial,West,boundary,20224,60294,0.1261319534282018,2.0542865705225513
l_14,arterial,East,peripheral,27324,20982,0.17657992565055763,0.5542169601118578
l_1353,arterial,West,peripheral,28822,7410,0.23684210526315788,0.20683201547050892
l_62,arterial,East,peripheral,9627,16185,0.13253012048192772,0.968811794598655
l_301,arterial,West,peripheral,18012,9399,0.18672199170124482,0.3889734033065087
l_1541,motorway,MWY,peripheral,90000,162279,0.13097813025714972,1.375114146949947
l_399,arterial,East,boundary,3000,15951,0.19559902200489,3.8569773364632396
l_480,arterial,East,peripheral,14414,23322,0.18394648829431437,1.2561869543393347
l_168,arterial,East,boundary,9523,11232,0.20833333333333334,0.7833570489806352
l_151,arterial,West,peripheral,28822,6084,0.19230769230769232,0.15581306481057708
l_359,arterial,CBD,inner,8479,17511,0.17817371937639198,1.3095104929985106
l_567,arterial,East,peripheral,15481,26949,0.1808972503617945,1.412733939549749
l_847,arterial,West,peripheral,17823,34515,0.15819209039548024,1.610164010511239
l_1813,arterial,West,peripheral,28822,19968,0.17578125,0.4913410293429336
l_2507,arterial,West,peripheral,34625,897,0.6521739130434783,0.020003077221723838
l_2266,motorway,MWY,peripheral,8296,38532,0.15688259109311742,3.475559368752149
l_694,arterial,East,peripheral,10821,44304,0.14524647887323944,3.1354806709158063
l_718,arterial,West,boundary,11780,212277,0.13044277053095718,13.176138306876837
l_508,arterial,CBD,inner,25486,22308,0.19230769230769232,0.7399499208308777
l_1078,arterial,West,boundary,16204,221481,0.11533720725479837,8.94175761132611
l_2157,motorway,MWY,peripheral,85000,66846,0.15752625437572929,0.5745379749430599
l_569,arterial,West,peripheral,19825,41340,0.15566037735849056,1.4355152384423826
l_43,arterial,East,boundary,15177,468,0.8333333333333334,0.01718083164202193
l_1861,arterial,East,peripheral,6446,12831,0.16717325227963525,1.1402069019932233
l_61,arterial,East,peripheral,27324,15756,0.19801980198019803,0.4900207526251401
l_562,arterial,West,peripheral,43962,20046,0.18482490272373542,0.3507935185071444
l_1775,motorway,MWY,peripheral,95000,160446,0.13125911521633446,1.2892790593014207
l_135,arterial,CBD,inner,21939,40911,0.1572926596758818,1.3390012267788411
l_641,arterial,CBD,inner,21939,63960,0.14939024390243902,2.117752437231248
l_1181,motorway,MWY,peripheral,90000,4017,0.24271844660194175,0.0289562225053152
l_211,arterial,West,peripheral,28195,39273,0.16385302879841113,1.1470246531805157
l_2468,motorway,MWY,peripheral,95000,147069,0.13922036595067622,1.2281155611470111
l_189,arterial,West,peripheral,43962,14118,0.16574585635359115,0.21987356895111493
l_824,arterial,West,peripheral,7783,13182,0.22189349112426035,1.6010354624168028
l_970,arterial,West,boundary,16700,48906,0.14752791068580542,1.9860822194975642
l_1349,motorway,MWY,peripheral,85000,47268,0.18976897689768976,0.4730855399584724
l_2655,arterial,West,peripheral,28585,8151,0.19138755980861244,0.18198069482934423
l_478,arterial,West,peripheral,43962,21840,0.1875,0.39258402025506445
l_755,arterial,East,peripheral,15177,37206,0.16247379454926625,1.9082554373496092
l_851,arterial,CBD,inner,25486,81120,0.12980769230769232,2.435850552475567
l_937,arterial,West,peripheral,28195,37050,0.16842105263157894,1.1053224085807223
l_1926,arterial,West,boundary,23275,14508,0.21505376344086022,0.4251203685799422
l_419,arterial,West,peripheral,16700,48516,0.1487138263665595,1.9803756929181715
l_255,arterial,West,peripheral,16734,19890,0.1568627450980392,0.9818824711017972
l_1536,motorway,MWY,peripheral,95000,468,0.8333333333333334,0.003003181995692312
l_199,arterial,CBD,inner,12615,44031,0.1550044286979628,2.5931007070036243
l_1106,arterial,CBD,inner,23275,4485,0.4782608695652174,0.1832096925910124
l_1563,motorway,MWY,peripheral,90000,5070,0.8461538461538461,0.05006645950212119
l_2654,arterial,East,boundary,27326,22386,0.156794425087108,0.49939708984953296
l_721,arterial,East,peripheral,25748,48204,0.14563106796116504,1.377375362064354
l_647,arterial,CBD,inner,8869,6669,0.23391812865497075,0.5406701002005403
l_953,arterial,East,peripheral,27324,20982,0.17657992565055763,0.5536360490851904
l_876,arterial,East,peripheral,27324,22308,0.1660839160839161,0.5805861036357606
l_455,arterial,East,peripheral,10658,8112,0.2644230769230769,0.6008656764538653
l_2170,arterial,West,peripheral,7783,12714,0.18404907975460122,1.4827654800213876
l_188,arterial,West,peripheral,12815,16029,0.19464720194647203,0.8636714200705407
l_2115,motorway,MWY,peripheral,90000,110682,0.12156448202959831,0.901451637386596
l_2085,motorway,MWY,peripheral,85000,134238,0.1481696687972109,1.1498799325329314
l_980,arterial,West,boundary,9523,10803,0.18050541516245489,0.8249292044745021
l_688,arterial,CBD,inner,25748,4641,0.21008403361344538,0.11163104125453492
l_578,arterial,East,peripheral,28822,44538,0.14448336252189142,1.123021716368983
l_881,arterial,East,peripheral,15481,26013,0.1724137931034483,1.3055262762207993
l_2150,motorway,MWY,peripheral,90000,0,0,0
l_1558,arterial,West,peripheral,27326,195819,0.12148974307906792,4.827895181507567
l_383,arterial,East,peripheral,27324,74802,0.13034410844629823,1.9768103218564308
l_631,arterial,East,peripheral,21939,37440,0.15104166666666666,1.2176155406159854
l_232,arterial,East,peripheral,12615,56004,0.14972144846796656,3.2655619059103627
l_544,arterial,West,peripheral,43962,20748,0.19736842105263158,0.36224075800627165
l_630,arterial,East,boundary,21939,37635,0.15544041450777202,1.2238150684593645
l_468,arterial,West,peripheral,43962,10803,0.1624548736462094,0.19153859709416549
l_621,arterial,CBD,inner,16293,28470,0.17123287671232876,1.158021273889218
l_454,arterial,West,boundary,13785,33540,0.1686046511627907,1.7608476411221863
l_541,arterial,CBD,inner,8869,6825,0.22857142857142856,0.5593075928204574
l_714,arterial,West,peripheral,43962,26286,0.14836795252225518,0.45734321066690414
l_223,arterial,West,peripheral,16734,11427,0.17064846416382254,0.5483077670826353
l_1141,arterial,West,peripheral,3000,7527,0.18134715025906736,1.5634840569199353
l_2616,motorway,MWY,peripheral,90000,0,0,0
l_605,arterial,West,peripheral,28822,35490,0.14835164835164835,0.8630788280847194
l_1449,arterial,West,peripheral,25694,5343,0.25547445255474455,0.11861900783671568
l_2665,arterial,West,peripheral,3000,234,1.6666666666666667,0.044574009285927245
l_1559,arterial,West,peripheral,16204,0,0,0
l_1400,arterial,East,boundary,18554,390,0.5,0.009506841687258875
l_667,arterial,West,boundary,25486,79638,0.13222331047992164,2.4018483931930916
l_925,arterial,East,peripheral,15906,12090,0.22580645161290322,0.6088774222356341
l_2326,arterial,East,peripheral,18554,5343,0.3284671532846715,0.2385984982063564
l_2472,arterial,CBD,inner,9523,14079,0.18005540166204986,1.0271573392016238
l_1832,arterial,East,peripheral,25748,37518,0.15072765072765074,1.0055844533178806
l_987,arterial,East,peripheral,12615,56004,0.14972144846796656,3.261765042817906
l_2287,motorway,MWY,boundary,95000,1950,0.6,0.029504539283775038
l_2503,arterial,West,peripheral,28822,19227,0.15212981744421908,0.46564076059453446
l_121,arterial,East,peripheral,15481,26169,0.18628912071535023,1.4148555293905252
l_799,arterial,West,peripheral,43962,24726,0.1498422712933754,0.43445481389861407
l_540,arterial,East,peripheral,12000,5304,0.33088235294117646,0.3063043064737724
l_2059,motorway,MWY,peripheral,85000,56511,0.1932367149758454,0.5729442682942458
l_610,arterial,CBD,inner,21939,74490,0.14659685863874344,2.537413896765417
l_759,arterial,East,peripheral,15481,26637,0.1683748169838946,1.3285587310914593
l_281,arterial,West,peripheral,43962,30264,0.16108247422680413,0.5496980843576523
l_2081,motorway,MWY,peripheral,85000,121563,0.14116137311517485,1.0562901963198217
l_1668,arterial,East,boundary,9523,1248,0.46875,0.07907649982645379
l_277,arterial,West,peripheral,28195,60489,0.15473887814313347,1.7660058473391824
l_583,arterial,East,peripheral,9354,30576,0.1913265306122449,2.694021442351725
l_1276,arterial,West,boundary,27326,11739,0.19933554817275748,0.3240112822929313
l_503,arterial,West,boundary,16700,16497,0.16548463356973994,0.5757315421982449
l_711,arterial,CBD,inner,13785,22542,0.1643598615916955,1.214474103682333
l_1196,arterial,East,boundary,6446,14547,0.16085790884718498,1.191281070942381
l_181,arterial,East,peripheral,20224,65325,0.1253731343283582,2.20035670491394
l_2093,arterial,West,peripheral,7783,12480,0.1875,1.4609444074877278
l_1639,arterial,West,peripheral,7783,13338,0.17543859649122806,1.50527856120735
l_1817,motorway,MWY,peripheral,85000,103779,0.15971439308530627,1.0350450523365395
l_1152,arterial,West,peripheral,13785,34710,0.1853932584269663,1.8628941021549315
l_19,arterial,West,peripheral,19825,41340,0.16037735849056603,1.4355187565520695
l_453,arterial,East,peripheral,15906,10101,0.19305019305019305,0.4583256482933242
l_357,arterial,East,boundary,8479,15483,0.17632241813602015,1.3625337166680478
l_1306,arterial,East,boundary,12793,21489,0.19056261343012704,1.1964928189708635
l_872,arterial,East,peripheral,27324,22308,0.1660839160839161,0.580821106032276
l_2458,motorway,MWY,boundary,90000,189891,0.12220168412405011,1.4546723757219755
l_612,arterial,West,peripheral,18012,5811,0.2348993288590604,0.27799129329735467
l_2336,arterial,CBD,inner,30388,26364,0.14792899408284024,0.6414725753900592
l_1871,motorway,MWY,peripheral,85000,111969,0.15673981191222572,1.1116531746259266
l_2007,arterial,East,boundary,27326,22581,0.15544041450777202,0.5097138572564464
l_2440,motorway,MWY,peripheral,90000,185211,0.12107812170983365,1.4317119336077693
l_216,arterial,CBD,inner,16700,18603,0.22012578616352202,0.8222228707631242
l_37,arterial,East,peripheral,15481,24063,0.19448946515397084,1.3035005184724817
l_2022,arterial,CBD,inner,20224,53469,0.12399708242159008,1.7923480661415065
l_404,arterial,East,boundary,38827,8463,0.2304147465437788,0.1656581639767547
l_2563,motorway,MWY,peripheral,95000,147693,0.13863216266173753,1.2321793338241611
l_2560,arterial,East,boundary,9523,24219,0.14492753623188406,1.6587592418695187
l_470,arterial,West,peripheral,28195,58734,0.15604249667994688,1.7088251342462542
l_496,arterial,West,peripheral,17823,14274,0.17759562841530055,0.5828381402667111
l_1826,motorway,MWY,inner,90000,185289,0.11576510208377183,1.4532785280693825
l_854,arterial,CBD,inner,38827,12519,0.21806853582554517,0.2437593190388417
l_287,arterial,West,peripheral,12562,16653,0.1522248243559719,0.9714098262082793
l_2596,arterial,West,peripheral,25694,936,0.8333333333333334,0.035911621909487844
l_228,arterial,West,peripheral,12562,19461,0.15030060120240482,1.1639099260247985
l_1902,motorway,MWY,boundary,90000,135408,0.14112903225806453,1.1006930505729777
l_927,arterial,East,boundary,15177,36270,0.16129032258064516,1.8730060422742374
l_833,arterial,East,peripheral,27324,20592,0.17992424242424243,0.5216365157824018
l_2269,arterial,CBD,inner,12793,975,0.6,0.057003772692861936
l_677,arterial,East,peripheral,38827,8463,0.2304147465437788,0.1655841166950262
l_871,arterial,West,peripheral,19825,38922,0.13527054108216433,1.3504264547454938
l_1641,arterial,East,peripheral,4863,20241,0.16377649325626203,3.4716376823231707
l_2092,arterial,East,peripheral,20157,32370,0.18674698795180722,1.3039435398081878
l_2360,arterial,West,boundary,23275,12363,0.20504731861198738,0.36294761078755416
l_962,arterial,CBD,inner,9523,1014,0.38461538461538464,0.07217045477047786
l_346,arterial,West,peripheral,43962,24648,0.15031645569620253,0.4328042493882563
l_2640,arterial,CBD,inner,27326,28977,0.15477792732166892,0.6532961930607187
l_1548,motorway,MWY,peripheral,85000,121563,0.14116137311517485,1.0595547457652277
l_1870,motorway,MWY,peripheral,85000,156,1.25,0.0019527817545594822
l_2174,arterial,East,peripheral,18554,5343,0.3284671532846715,0.23867239126103615
l_575,arterial,West,peripheral,4318,13065,0.208955223880597,2.0790624565454947
l_1825,arterial,CBD,inner,20224,59397,0.12803676953381485,1.9966716104328714
l_53,arterial,West,peripheral,17823,10374,0.18796992481203006,0.47766254596037844
l_2618,motorway,MWY,peripheral,90000,11427,0.22184300341296928,0.07469872183850589
