"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"sensitivity-kfactor"
"07/25/2026 18:53:33:510 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","k-factor","n-sim-days","[step]","peak-vc-inner","current-sim-day","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"3","Exp-Decay","No-Charge","0.12","14","3","0.11730181667928281","3","0.36206093630309355","0.07600981174957916","90.51574670868781","83.22890590789063","82.97278603383758","81.33904173405884","52.16795347287724","75.54113129343386","76.47193206334939","70.06391950566888"
"1","Exp-Decay","No-Charge","0.08","14","3","0.11730181667928281","3","0.36206093630309355","0.07600981174957916","94.53703089966483","93.35754790942019","91.04859151430738","86.86705527191509","91.06775650066581","85.92199022624526","87.67523453940899","85.50890891676073"
"5","Exp-Decay","tou","0.1","14","4","0.08556492795507056","4","0.2371267544643089","0.054219028888424885","90.43799083887528","85.20912256831593","84.52223262264573","82.57877816224654","62.089546247689135","74.07450439997159","78.50982339718612","77.49577732085923"
"6","Exp-Decay","tou","0.12","14","4","0.08556492795507056","4","0.2371267544643089","0.054219028888424885","84.81905739224821","77.13923314919263","82.35255119988102","80.59086835290101","37.55883025999623","66.14673024523074","70.1116721460291","67.23703318054875"
"4","Exp-Decay","tou","0.08","14","4","0.08556492795507056","4","0.2371267544643089","0.054219028888424885","92.89857816419787","89.2621069180544","88.07003715528235","83.98396391688249","86.02815175722516","81.99984053308947","85.09956749244868","83.1435120278783"
"2","Exp-Decay","No-Charge","0.1","14","4","0.10051156986463398","4","0.46036439113071576","0.07473236970081104","91.33445809184657","82.9127880120928","85.97204539598461","81.2405490449464","74.5754752608464","83.16921537370133","83.34591074382914","80.03371662139085"
"3","Exp-Decay","No-Charge","0.12","14","4","0.10051156986463398","4","0.46036439113071576","0.07473236970081104","85.99365438425082","77.66515086170413","83.00864545352347","78.11716714514914","52.77711263308073","75.61558402966918","75.3371083888426","69.33575710145743"
"1","Exp-Decay","No-Charge","0.08","14","4","0.10051156986463398","4","0.46036439113071576","0.07473236970081104","93.91742131907422","90.43758103575425","91.02198940114667","85.61688357696363","91.18160007753495","85.9526385139381","87.24017305317447","84.99134632677114"
"5","Exp-Decay","tou","0.1","14","5","0.0788607825394659","5","0.30614865950019776","0.06161011988671139","90.93824903956846","85.76381221878275","86.19848995976986","82.49976156147808","62.11543126278232","74.29561627126839","78.34614172976715","76.85404875753194"
"6","Exp-Decay","tou","0.12","14","5","0.0788607825394659","5","0.30614865950019776","0.06161011988671139","80.12430606838055","81.87042314401013","81.85042686863343","79.54208133075831","39.49360792828814","66.36757563317617","70.16996222212443","66.82387091253645"
"4","Exp-Decay","tou","0.08","14","5","0.0788607825394659","5","0.30614865950019776","0.06161011988671139","93.94633773726757","89.03132877604835","89.8281865086031","84.19474943018879","85.99737734939109","82.32288977133246","85.14768631661946","82.35398261989297"
