"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"sensitivity-ql-epsilon"
"07/25/2026 16:20:19:012 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","ql-epsilon-init","n-sim-days","[step]","peak-vc-inner","current-sim-day","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"2","Q-Learning","No-Charge","0.4","14","4","0.15080639270719637","4","0.4697751684077596","0.07888458802179399","92.63441934522793","86.48474849612037","86.74763221023014","83.56292824448208","76.76072851244565","81.65220071171157","85.12682928680327","79.7389876719671"
"3","Q-Learning","No-Charge","0.6","14","4","0.1261409511567466","4","0.4495287118038078","0.07803390241449269","92.11063801291093","91.58629683338182","89.87719041594912","86.11950262243415","77.97608190214162","81.9332460302072","84.92756206464415","80.40970283612026"
"1","Q-Learning","No-Charge","0.2","14","4","0.12912819063912653","4","0.40722365790344645","0.08688902778663096","91.62100118997185","89.27579084952694","86.74116371865136","82.8382825865288","71.54381038080807","80.91771351289186","84.15503361606626","79.41604311778737"
"4","Q-Learning","tou","0.2","14","5","0.0866603128077441","5","0.15292604606201537","0.050324281396526525","89.87005602950687","79.32490073149432","82.69468767255047","78.88118130539499","62.30808435853325","74.39629381100276","78.68425049475645","75.50448545698784"
"5","Q-Learning","tou","0.4","14","5","0.09272758472587417","5","0.21897881658945265","0.05186322307086428","90.43002458561688","84.07645671799733","85.24932657213456","82.22613515328052","67.75141149969164","80.21341161993251","81.43425721849741","77.07317081576976"
"6","Q-Learning","tou","0.6","14","5","0.0932467087105846","5","0.34260582941100987","0.058506900368862275","91.95333366968241","83.68037380752044","84.76859074332528","84.11575236506492","72.45963616545012","77.78011355595234","82.5520489918061","77.59215553268164"
"2","Q-Learning","No-Charge","0.4","14","5","0.1299277025024159","5","0.37329167821361825","0.07572184064775904","92.11475523269063","85.03476898228396","87.15137266921077","85.30325062394436","76.71680278419274","81.79610116981249","85.15100700382733","79.29328891804532"
"3","Q-Learning","No-Charge","0.6","14","5","0.10463300278416159","5","0.41477591800715097","0.06543824463331467","91.34133075342753","86.54202386813776","86.51579007235168","83.83987595985407","76.62792584909685","82.05501269371061","84.79760826768155","79.59846257581998"
"1","Q-Learning","No-Charge","0.2","14","5","0.1013256420860573","5","0.3267022084540157","0.07147957169820192","92.2519302410279","84.20949272573343","87.54163727932833","82.23262702828794","72.94117200093567","81.41606101561274","84.66089282020975","79.68711188289686"
"4","Q-Learning","tou","0.2","14","6","0.0703566512928864","6","0.19015532720911163","0.05140445045898646","89.97472243634178","76.35988386261471","81.29329864633881","77.75555245099187","62.5126424774345","72.43842976838397","76.83577999423635","75.94611863664979"
"5","Q-Learning","tou","0.4","14","6","0.1258968335759561","6","0.24215938613779098","0.07028247160328459","91.72456755364213","83.81078082379837","86.47990913204406","82.9073778920101","67.83297639743479","77.77391787111353","79.91288002450023","76.9184116922111"
"6","Q-Learning","tou","0.6","14","6","0.08344771914391352","6","0.30628606333374736","0.059723752080162396","91.9197252471524","83.14084510975819","83.38241815515143","81.54946258158606","71.02222786778565","77.55108949624245","82.34699893489432","77.99455202571374"
"2","Q-Learning","No-Charge","0.4","14","6","0.12224851365752705","6","0.38678049588311836","0.08141414483229864","92.40393577519713","89.08199949209941","89.4670185878248","83.22342886824993","76.97807855108113","81.69661804468261","85.40192645022933","79.4073357456268"
"1","Q-Learning","No-Charge","0.2","14","6","0.13060928708886593","6","0.3929410184459672","0.07769525796414889","91.83130441671103","84.74138485007582","87.8681939996701","83.3239963997457","74.33674625697401","81.5265998345817","85.04890752284912","79.5223242715634"
"3","Q-Learning","No-Charge","0.6","14","6","0.12054599154372277","6","0.41914158851295913","0.06737052642811348","92.07439365519674","85.93886299065835","85.99929431203205","83.16972144777704","76.59382585828061","81.87041520959279","84.63582850480853","79.36376780940705"
"4","Q-Learning","tou","0.2","14","7","0.07700265099006529","7","0.19963930825456674","0.0566589659686845","86.26635985868977","72.50131971947148","76.81653671252255","81.02970140612209","62.59212879636829","71.6987448509485","75.47368014515891","74.30879935873831"
"5","Q-Learning","tou","0.4","14","7","0.08516272939609112","7","0.21632247201004295","0.05236255619451159","89.36451707923538","74.80517128523854","78.36907007668918","82.8853801969711","66.81998612488812","76.3992715841626","79.58983093947452","76.64143585670075"
"6","Q-Learning","tou","0.6","14","7","0.1107591344056584","7","0.2635885399099295","0.07068957902045851","91.10727979319638","83.27438081669874","85.19900918272106","82.1809280039547","67.93514408218103","76.5783372416638","82.31267415671533","78.58850585212097"
"2","Q-Learning","No-Charge","0.4","14","7","0.11772534168695606","7","0.4097798403844808","0.06670297754852948","92.29028222253991","87.48743056001625","86.61692170126726","81.76524942395555","76.93788470194056","82.32974015429411","84.79015526304295","79.60520765533397"
"1","Q-Learning","No-Charge","0.2","14","7","0.11879541380546939","7","0.37249571844708845","0.07109669809574819","92.1840832389709","88.38102078527295","88.83673144945462","83.10297012262697","75.97171649204707","82.10237333559961","84.83536289529465","79.41838509029596"
"3","Q-Learning","No-Charge","0.6","14","7","0.14728956465884108","7","0.30001266357970313","0.07684571790929146","91.88737647253984","86.35836481708202","84.34077808478096","80.93175250682667","76.52670049836098","82.74057177188816","84.74703770437753","79.30408058402081"
"4","Q-Learning","tou","0.2","14","8","0.05789659639252011","8","0.11830855248281846","0.049936979262599095","75.57823236979665","68.47244962887869","69.45872071145484","76.89494385718493","52.93849157190293","70.8128039758337","75.28560113161592","71.06300385163266"
"5","Q-Learning","tou","0.4","14","8","0.09866050956991143","8","0.23595948094715394","0.05260856785655954","88.58531006101201","77.58335166343024","79.10348009513862","78.81499880019902","56.68724628872712","75.17783587217251","78.69526261012868","76.4721665172868"
"6","Q-Learning","tou","0.6","14","8","0.1057991847836683","8","0.2141545354290163","0.0619333139835644","86.47429688980193","81.4811012176776","85.5066015725833","83.17907359255727","64.71680657160294","75.79668871503279","81.4171207257252","78.2828118577758"
"2","Q-Learning","No-Charge","0.4","14","8","0.11476781082761962","8","0.3311555887289145","0.07385599341730756","92.40103700639641","84.49780387941894","88.61541830676545","83.62146943515593","76.09265576908209","82.26350027838177","85.28950533030515","78.62653431341855"
"1","Q-Learning","No-Charge","0.2","14","8","0.1136588620735359","8","0.3880264660095775","0.07720811053492181","92.70306425870287","88.33739191662713","88.31163437544495","81.86390133782665","76.84904748026102","82.68514157581549","84.64573685994351","79.60244283668177"
"4","Q-Learning","tou","0.2","14","9","0.0750781812924273","9","0.12208663578830797","0.049060075620385855","82.33760314731478","72.62065621073026","76.32693494187956","77.71584216898421","52.73818918032656","69.73698763978196","74.45261017612792","69.31042465141847"
"3","Q-Learning","No-Charge","0.6","14","8","0.12819664720822221","8","0.34939691789164895","0.07096662058897728","92.36095100767422","88.3989686185375","87.64064017949286","84.12669261407204","75.70824702636743","82.51879872400455","85.0305201412684","78.80937081357106"
"5","Q-Learning","tou","0.4","14","9","0.08372510218854946","9","0.2610291480517331","0.05957438925378224","90.43756361806624","77.89600365312477","85.74505297529993","79.64611129401513","52.481274989238464","73.14885293306742","77.68075512886267","75.85542390472801"
"6","Q-Learning","tou","0.6","14","9","0.07608610652491588","9","0.2338720341907499","0.058673326233411045","89.33100333601092","76.77637195072364","82.49332587268307","77.9024401920593","64.54966902942229","75.17704110522018","79.63881377370836","77.34313680890621"
"4","Q-Learning","tou","0.2","14","10","0.08134990679834088","10","0.17724107162349106","0.04415513757206262","75.4050231853689","70.20298314732548","76.74764387645118","78.14913351997369","48.282986676579505","69.05935659889283","73.31692161112387","68.75238046976371"
"2","Q-Learning","No-Charge","0.4","14","9","0.13629353251681908","9","0.4026679274683009","0.07016994328194694","92.83943407461594","87.87386862363509","87.32954101498912","83.10197074245032","73.06069771468927","82.2245774413602","84.88713135109245","78.91943560999248"
"1","Q-Learning","No-Charge","0.2","14","9","0.10332339907359303","9","0.42868995322827214","0.08559368562522703","92.25583173910599","86.90273866648981","87.98658131581911","83.67517317274127","76.82313216853413","82.63390695011407","84.9196273415939","79.93849946629823"
"3","Q-Learning","No-Charge","0.6","14","9","0.12024516970555077","9","0.36483195097596427","0.08354907400742412","92.02768473592835","86.32666776839405","86.80946079457313","83.1180819523655","73.6261478184963","82.5824253974109","84.9359528960998","79.44743106723189"
"5","Q-Learning","tou","0.4","14","10","0.0679436599975184","10","0.16669806707274273","0.04611067203842429","81.15374065779721","74.33203329011836","77.8676613850895","80.74758938912784","52.61904800742556","71.32132475465326","75.27671281490068","74.74507319640841"
"6","Q-Learning","tou","0.6","14","10","0.08205183147054078","10","0.17789307036737506","0.04991825844706114","85.74219533286616","80.73764455220076","82.08750709528036","79.47013072660928","62.22276549094262","75.18995015431409","79.25783706146998","73.7813097978373"
"4","Q-Learning","tou","0.2","14","11","0.05938925935223889","11","0.12948893297036682","0.0422089381707911","69.93721004637653","66.44563091428084","75.95788351981912","79.92210671013166","44.48361384635651","65.82786877957136","71.38494258063929","68.32925973664238"
"2","Q-Learning","No-Charge","0.4","14","10","0.10957547097233644","10","0.40379879282454817","0.07313902140587467","91.86288448012981","88.07038030776673","87.99681066693631","83.47339195107577","72.95743493552932","82.24608639818032","84.92282247895874","78.87070795790582"
"5","Q-Learning","tou","0.4","14","11","0.07817436099603617","11","0.2425830341311776","0.0512425477556929","88.17460008035978","77.94703243908657","79.9096875196627","80.2991583733015","52.61762469716218","70.1478483829255","74.45153601473844","75.27931941419753"
