link_id,class,group,position,adt_obs,veh_day_model
l_995,arterial,East,boundary,9523,26820
l_458,arterial,West,peripheral,25486,9180
l_1787,arterial,West,peripheral,25694,1920
l_1561,arterial,West,peripheral,6000,169200
l_200,arterial,CBD,inner,24996,73320
l_755,arterial,East,peripheral,15177,71580
l_2091,arterial,East,peripheral,20157,33540
l_713,arterial,CBD,inner,12615,113280
l_1038,arterial,CBD,inner,23275,9660
l_976,arterial,East,peripheral,27324,10140
l_51,arterial,CBD,inner,12259,27120
l_594,arterial,East,peripheral,15906,7740
l_1338,arterial,East,peripheral,12615,20400
l_232,arterial,East,peripheral,12615,153420
l_951,arterial,West,peripheral,43962,8940
l_2288,arterial,West,peripheral,19825,28740
l_0,arterial,West,peripheral,4318,4020
l_662,arterial,East,peripheral,25486,47820
l_673,arterial,East,peripheral,27324,7140
l_1779,arterial,West,peripheral,19825,28680
l_1842,arterial,East,peripheral,25748,30120
l_2049,arterial,East,boundary,21939,600
l_289,arterial,West,peripheral,12562,10260
l_74,arterial,West,peripheral,28822,24900
l_451,arterial,East,peripheral,15906,9720
l_1177,arterial,West,peripheral,34625,0
l_820,arterial,CBD,inner,20224,137820
l_1449,arterial,West,peripheral,25694,1080
l_214,arterial,West,peripheral,8296,5460
l_1452,arterial,CBD,inner,12259,16320
l_2130,arterial,East,peripheral,30388,0
l_122,arterial,West,boundary,16204,45480
l_1543,motorway,MWY,peripheral,85000,123360
l_68,arterial,East,peripheral,15481,30720
l_738,arterial,CBD,inner,11780,230340
l_424,arterial,CBD,inner,25748,25680
l_845,arterial,East,peripheral,25748,135000
l_1837,arterial,West,peripheral,34625,2400
l_569,arterial,West,peripheral,19825,28200
l_300,arterial,West,peripheral,18012,6240
l_1479,arterial,East,boundary,25748,0
l_119,arterial,West,peripheral,28822,3480
l_12,arterial,CBD,inner,30388,25800
l_733,arterial,West,peripheral,8296,0
l_490,arterial,West,peripheral,43962,16680
l_325,arterial,East,peripheral,15481,19860
l_93,arterial,West,peripheral,43962,19680
l_2678,motorway,MWY,boundary,90000,480
l_1641,arterial,East,peripheral,4863,6420
l_1997,arterial,CBD,inner,27326,82320
l_363,arterial,East,boundary,4804,42720
l_144,arterial,West,peripheral,16293,104700
l_784,arterial,East,peripheral,27324,1860
l_148,arterial,West,peripheral,12562,9780
l_242,arterial,East,peripheral,9354,28320
l_1098,arterial,East,peripheral,27324,1500
l_246,arterial,West,peripheral,28822,27180
l_785,arterial,East,peripheral,15177,71580
l_2415,motorway,MWY,boundary,90000,230400
l_174,arterial,West,peripheral,9523,25320
l_2399,arterial,CBD,inner,20224,106320
l_552,arterial,West,peripheral,43962,19680
l_2109,arterial,East,peripheral,21939,127560
l_450,arterial,East,peripheral,15906,9720
l_1472,arterial,CBD,inner,30388,40920
l_217,arterial,West,peripheral,18012,3840
l_135,arterial,CBD,inner,21939,46380
l_61,arterial,East,peripheral,27324,1500
l_863,arterial,East,peripheral,12512,54480
l_690,arterial,West,peripheral,43962,18720
l_2213,motorway,MWY,peripheral,8296,15540
l_664,arterial,East,peripheral,25748,40200
l_722,arterial,West,boundary,13785,85260
l_397,arterial,East,peripheral,18554,1380
l_1001,arterial,East,peripheral,12000,1200
l_388,arterial,East,peripheral,4863,16560
l_528,arterial,CBD,inner,7124,31740
l_877,arterial,West,peripheral,8296,5460
l_364,arterial,East,boundary,21939,114480
l_940,arterial,West,peripheral,43962,18360
l_358,arterial,East,boundary,8479,48540
l_476,arterial,CBD,inner,13785,16560
l_2137,motorway,MWY,peripheral,90000,0
l_2140,arterial,West,peripheral,28822,12300
l_909,arterial,CBD,inner,38827,11880
l_699,arterial,West,peripheral,17823,12000
l_196,arterial,West,peripheral,43962,8940
l_1227,arterial,East,boundary,6446,0
l_103,arterial,West,peripheral,12562,9780
l_445,arterial,East,peripheral,12000,3060
l_910,arterial,East,peripheral,9354,28320
l_420,arterial,CBD,inner,14414,52140
l_978,arterial,East,peripheral,27324,1860
l_931,arterial,CBD,inner,3000,37500
l_2382,arterial,East,boundary,20224,149220
l_56,arterial,West,peripheral,28195,14820
l_725,arterial,East,peripheral,27324,1500
l_266,arterial,East,peripheral,27324,1860
l_514,arterial,CBD,inner,4804,39720
l_1560,motorway,MWY,peripheral,90000,212640
l_77,arterial,East,peripheral,9627,6960
l_1541,motorway,MWY,peripheral,90000,174240
l_570,arterial,West,peripheral,28822,25500
l_543,arterial,West,peripheral,16734,15780
l_432,arterial,West,peripheral,12562,11820
l_1566,arterial,East,peripheral,21939,128100
l_2173,arterial,West,boundary,3000,7080
l_1760,arterial,West,peripheral,34625,3120
l_1860,arterial,East,boundary,6446,22380
l_694,arterial,East,peripheral,10821,18240
l_2030,arterial,East,boundary,20224,148920
l_453,arterial,East,peripheral,15906,8700
l_2543,arterial,West,peripheral,30484,59520
l_1738,arterial,CBD,inner,12793,68940
l_906,arterial,West,peripheral,28195,14100
l_651,arterial,East,peripheral,9369,10740
l_2690,arterial,East,boundary,20224,148500
l_1993,arterial,CBD,inner,27326,39000
l_1956,arterial,CBD,inner,27326,40200
l_2640,arterial,CBD,inner,27326,56820
l_1861,arterial,East,peripheral,6446,22320
l_2402,arterial,CBD,inner,25748,34500
l_601,arterial,West,peripheral,34625,1800
l_2166,arterial,East,boundary,12615,94260
l_220,arterial,CBD,inner,24996,110880
l_1225,motorway,MWY,peripheral,27326,224340
l_498,arterial,West,peripheral,17823,13440
l_1922,arterial,CBD,inner,12793,11820
l_136,arterial,East,peripheral,18554,1980
l_175,arterial,West,peripheral,28822,3480
