"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"paper-figs"
"07/27/2026 07:09:54:385 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-vc-boundary","peak-vc-peripheral","peak-ef-mwy","peak-ef-cbd","peak-ef-east","peak-ef-west","pct-los-ef-am-g ""MWY""","pct-los-ef-am-g ""CBD""","pct-los-ef-am-g ""East""","pct-los-ef-am-g ""West"""
"3","El Farol","No-Charge","14","3","3","0.17139914313919447","0.8318314205518338","0.10974712827267782","94.84976187725331","92.30625281177244","91.49473244490481","86.3709184951682","89.20255877487838","87.8661803488233","88.9291539285778","83.73722177011405"
"6","Q-Learning","tou","14","4","4","0.09790168715244829","0.2553124909297474","0.06589303783988176","90.36399427521494","80.84224425315229","83.43583883460704","82.96360304496407","70.29143550157112","80.73454781802066","82.23381277799963","76.92956068154966"
"1","Exp-Decay","No-Charge","14","4","4","0.10051156986463398","0.46036439113071576","0.07473236970081104","91.33445809184657","82.9127880120928","85.97204539598461","81.2405490449464","74.5754752608464","83.16921537370133","83.34591074382914","80.03371662139085"
"5","Q-Learning","No-Charge","14","4","4","0.15080639270719637","0.4697751684077596","0.07888458802179399","92.63441934522793","86.48474849612037","86.74763221023014","83.56292824448208","76.76072851244565","81.65220071171157","85.12682928680327","79.7389876719671"
"2","Exp-Decay","tou","14","5","5","0.0788607825394659","0.30614865950019776","0.06161011988671139","90.93824903956846","85.76381221878275","86.19848995976986","82.49976156147808","62.11543126278232","74.29561627126839","78.34614172976715","76.85404875753194"
"6","Q-Learning","tou","14","5","5","0.09272758472587417","0.21897881658945265","0.05186322307086428","90.43002458561688","84.07645671799733","85.24932657213456","82.22613515328052","67.75141149969164","80.21341161993251","81.43425721849741","77.07317081576976"
"4","El Farol","tou","14","4","4","0.19866076134803357","0.8328546836381535","0.10946627951195367","94.25230596892594","94.33160364371611","91.57307977828141","86.01462580917648","86.67480353144475","88.35458051434897","87.71622100069216","83.3443242814392"
"3","El Farol","No-Charge","14","4","4","0.14801925338316568","0.7824485282867235","0.10394934930966411","94.20990717930226","94.22537407707661","91.93212453029399","86.91527371497456","91.03236358967243","87.73859098253998","89.21280139799374","84.0116461429435"
"1","Exp-Decay","No-Charge","14","5","5","0.10903699186543056","0.44484049503663947","0.08480659066531832","92.48736579711846","87.96950150373064","87.85283192070729","84.72215799718565","75.88632423374773","82.59562857759063","84.06295960674689","79.54792302487618"
"5","Q-Learning","No-Charge","14","5","5","0.1299277025024159","0.37329167821361825","0.07572184064775904","92.11475523269063","85.03476898228396","87.15137266921077","85.30325062394436","76.71680278419274","81.79610116981249","85.15100700382733","79.29328891804532"
