"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\vdiuser\github\SSC2026\netlogo\akl_traffic.nlogo"
"hourly-full"
"07/29/2026 21:53:14:212 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","135","0","100"
"[run number]","decision-rule","fee-regime","allow-retiming?","allow-rerouting?","n-sim-days","[step]","current-sim-day","peak-vc-inner","peak-vc-boundary","peak-vc-peripheral"
"1","Exp-Decay","No-Charge","false","false","14","11","11","0.12741527905696037","0.4671887859513041","0.09706585133460655"
"2","Exp-Decay","tou","false","false","14","12","12","0.08954318842225757","0.3858253994210926","0.07255610723667491"
"6","Q-Learning","tou","false","false","14","12","12","0.0767809317753939","0.34005910143338813","0.06889735144016876"
"5","Q-Learning","No-Charge","false","false","14","12","12","0.10190650548638551","0.5534622904990933","0.08760386129800042"
"4","El Farol","tou","false","false","14","11","11","0.14986184438700206","0.7939970068313189","0.11425573781092406"
"1","Exp-Decay","No-Charge","false","false","14","12","12","0.12941331229198477","0.4672492927615564","0.10138205062558449"
"3","El Farol","No-Charge","false","false","14","11","11","0.1801787875892967","0.6365772475181668","0.1463681727418681"
"6","Q-Learning","tou","false","false","14","13","13","0.068459586421302","0.34667716764054984","0.07661368967758186"
"2","Exp-Decay","tou","false","false","14","13","13","0.09831594291720476","0.43647218892179157","0.0763064343364598"
"5","Q-Learning","No-Charge","false","false","14","13","13","0.13626790502727046","0.6262089908612057","0.11304171396814086"
"1","Exp-Decay","No-Charge","false","false","14","13","13","0.13053830198110242","0.5135978162726548","0.10388551808290634"
"4","El Farol","tou","false","false","14","12","12","0.17931638056418703","0.7181639517251107","0.1039637068424735"
"3","El Farol","No-Charge","false","false","14","12","12","0.15259258048027163","0.8086058869278805","0.1378691183483002"
"6","Q-Learning","tou","false","false","14","14","14","0.0603103396889508","0.4256902575050944","0.07807404237367431"
"2","Exp-Decay","tou","false","false","14","14","14","0.08905889101011208","0.5024454974863952","0.08362097551704965"
