id,adt
l_886,9354
l_887,3000
l_888,12512
l_889,17823
l_890,34625
l_891,9523
l_892,16293
l_893,10821
l_894,12615
l_895,28195
l_896,9523
l_897,16700
l_898,10658
l_899,15177
l_900,27324
l_901,17823
l_902,8296
l_903,27324
l_904,11780
l_905,13785
l_906,28195
l_907,17823
l_908,28195
l_909,38827
l_910,9354
l_911,28195
l_912,10821
l_913,9523
l_914,30484
l_915,30484
l_916,43962
l_917,30388
l_918,16293
l_919,25486
l_920,8479
l_921,16700
l_922,12615
l_923,16700
l_924,12793
l_925,15906
l_926,24996
l_927,15177
l_928,25748
l_929,23197
l_930,17823
l_931,3000
l_932,34625
l_933,15481
l_934,9627
l_935,25748
l_936,8869
l_937,28195
l_938,6838
l_939,9354
l_940,43962
l_941,30388
l_942,16700
l_943,28195
l_944,12562
l_945,34625
l_946,12512
l_947,12562
l_948,17823
l_949,12615
l_950,13785
l_951,43962
l_952,21939
l_953,27324
l_954,28195
l_955,30388
l_956,18554
l_957,17823
l_958,12512
l_959,30388
l_960,27324
l_961,10658
l_962,9523
l_963,16700
l_964,25748
l_965,16700
l_966,25486
l_967,25748
l_968,24996
l_969,12512
l_970,16700
l_971,12793
l_972,12000
l_973,18554
l_974,27324
l_975,12000
l_976,27324
l_977,16734
l_978,27324
l_979,30484
l_980,9523
l_981,17823
l_982,27324
l_983,16293
l_984,12615
l_985,11780
l_986,9523
l_987,12615
l_988,9523
l_989,30484
l_990,12512
l_991,18554
l_992,10821
l_993,27324
l_994,28195
l_995,9523
l_996,25486
l_997,15177
l_998,8771
l_999,43962
l_1000,43962
l_1001,12000
l_1002,30388
l_1003,4318
l_1004,28195
l_1005,12512
l_1006,34625
l_1007,18012
l_1008,43962
l_1009,20224
l_1010,27326
l_1011,12562
l_1012,8479
l_1013,3000
l_1014,19825
l_1015,19825
l_1016,9354
l_1017,22621
l_1018,30388
l_1019,15177
l_1020,27324
l_1021,15177
l_1022,28195
l_1023,12259
l_1024,3000
l_1025,12512
l_1026,12615
l_1027,19825
l_1028,12000
l_1029,8479
l_1030,18012
l_1031,12615
l_1032,24996
l_1033,18554
l_1034,20224
l_1035,25486
l_1036,34625
l_1037,24996
l_1038,23275
l_1039,28822
l_1040,34625
l_1041,28195
l_1042,9523
l_1043,30484
l_1044,25486
l_1045,18012
l_1046,43962
l_1047,27324
l_1048,15481
l_1049,34625
l_1050,15481
l_1051,43962
l_1052,8869
l_1053,27326
l_1054,18554
l_1055,25748
l_1056,15481
l_1057,9627
l_1058,24996
l_1059,16204
l_1060,23275
l_1061,27326
l_1062,9627
l_1063,15481
l_1064,43962
l_1065,25748
l_1066,12259
l_1067,20157
l_1068,24996
l_1069,17823
l_1070,25486
l_1071,16700
l_1072,28195
l_1073,43962
l_1074,21939
l_1075,13785
l_1076,43962
l_1077,28195
l_1078,16204
l_1079,20157
l_1080,28195
l_1081,23275
l_1082,23275
l_1083,27324
l_1084,9627
l_1085,9627
l_1086,10821
l_1087,9627
l_1088,25486
l_1089,15481
l_1090,16204
l_1091,15481
l_1092,27324
l_1093,9627
l_1094,18012
l_1095,12562
l_1096,27324
l_1097,43962
l_1098,27324
l_1099,28822
l_1100,10821
l_1101,9627
l_1102,9627
l_1103,12259
l_1104,17823
l_1105,27324
l_1106,23275
l_1107,23275
l_1108,19779
l_1109,23275
l_1110,43962
l_1111,17823
l_1112,12793
l_1113,12512
l_1114,15177
l_1115,12793
l_1116,25748
l_1117,21939
l_1118,15481
l_1119,12562
l_1120,20224
l_1121,15481
l_1122,18012
l_1123,15906
l_1124,28822
l_1125,13785
l_1126,43962
l_1127,15177
l_1128,16700
l_1129,17823
l_1130,15481
l_1131,10658
l_1132,20224
l_1133,12512
l_1134,7124
l_1135,28822
l_1136,12562
l_1137,12562
l_1138,12562
l_1139,27324
l_1140,18554
l_1141,3000
l_1142,27326
l_1143,16204
l_1144,28195
l_1145,3000
l_1146,28822
l_1147,34625
l_1148,25748
l_1149,43962
l_1150,18012
l_1151,24996
l_1152,13785
l_1153,28822
l_1154,28822
l_1155,28822
l_1156,28822
l_1157,28822
l_1158,28822
l_1159,15481
l_1160,13785
l_1161,16204
l_1162,12562
l_1163,7783
l_1164,12259
l_1165,16204
l_1166,11780
l_1167,11780
l_1168,3000
l_1169,34625
l_1170,34625
l_1171,12000
l_1172,3000
l_1173,3000
l_1174,8296
l_1175,30484
l_1176,34625
l_1177,34625
l_1178,16293
l_1179,12815
l_1180,4318
l_1181,90000
l_1182,6000
l_1183,21939
l_1184,90000
l_1185,12793
l_1186,95000
l_1187,21939
l_1188,90000
l_1189,3000
l_1190,12000
l_1191,30484
l_1192,18554
l_1193,27326
l_1194,9523
l_1195,25486
l_1196,6446
l_1197,28195
l_1198,30388
l_1199,90000
l_1200,12000
l_1201,21939
l_1202,8479
l_1203,23275
l_1204,28822
l_1205,30388
l_1206,12615
l_1207,21939
l_1208,85000
l_1209,16293
l_1210,21939
l_1211,23275
l_1212,30388
l_1213,16700
l_1214,25748
l_1215,25748
l_1216,12562
l_1217,12000
l_1218,12000
l_1219,18554
l_1220,28822
l_1221,8479
l_1222,43962
l_1223,8771
l_1224,27324
l_1225,27326
l_1226,28195
l_1227,6446
l_1228,30388
l_1229,8479
l_1230,25748
l_1231,12000
l_1232,20224
l_1233,38827
l_1234,38827
l_1235,12562
l_1236,30388
l_1237,43962
l_1238,38827
l_1239,30388
l_1240,9354
l_1241,8296
l_1242,24996
l_1243,24996
l_1244,9523
l_1245,24996
l_1246,24996
l_1247,24996
l_1248,8479
l_1249,8296
l_1250,25748
l_1251,9523
l_1252,28822
l_1253,28822
l_1254,8296
l_1255,3000
l_1256,7783
l_1257,7783
l_1258,4804
l_1259,13785
l_1260,20224
l_1261,16700
l_1262,8869
l_1263,27326
l_1264,13785
l_1265,16204
l_1266,8869
l_1267,30388
l_1268,6446
l_1269,8479
l_1270,27326
l_1271,27326
l_1272,27326
l_1273,23275
l_1274,30388
l_1275,30388
l_1276,27326
l_1277,27326
l_1278,16204
l_1279,16204
l_1280,27326
l_1281,12815
l_1282,20224
l_1283,9523
l_1284,90000
l_1285,23275
l_1286,43962
l_1287,23275
l_1288,25000
l_1289,8479
l_1290,16700
l_1291,28822
l_1292,25486
l_1293,16700
l_1294,15481
l_1295,23275
l_1296,43962
l_1297,23275
l_1298,12793
l_1299,10862
l_1300,16700
l_1301,12615
l_1302,24996
l_1303,7061
l_1304,16700
l_1305,16293
l_1306,12793
l_1307,12615
l_1308,43962
l_1309,16700
l_1310,12562
l_1311,25486
l_1312,25486
l_1313,30388
l_1314,34625
l_1315,18012
l_1316,12615
l_1317,28195
l_1318,27326
l_1319,12615
l_1320,12793
l_1321,25486
l_1322,28195
l_1323,23275
l_1324,8296
l_1325,12615
l_1326,17823
l_1327,16700
l_1328,23275
l_1329,18012
l_1330,18012
l_1331,12793
l_1332,24996
l_1333,8869
l_1334,15177
l_1335,30388
l_1336,8296
l_1337,16734
l_1338,12615
l_1339,15481
l_1340,27324
l_1341,27324
l_1342,27324
l_1343,12562
l_1344,30388
l_1345,4318
l_1346,43962
l_1347,30484
l_1348,30484
l_1349,85000
l_1350,12615
l_1351,90000
l_1352,25748
l_1353,28822
l_1354,25748
l_1355,15481
l_1356,30484
l_1357,15481
l_1358,25486
l_1359,25486
l_1360,15481
l_1361,23197
l_1362,9354
l_1363,9354
l_1364,25486
l_1365,12000
l_1366,28822
l_1367,25486
l_1368,34625
l_1369,25486
l_1370,15481
l_1371,12793
l_1372,12615
l_1373,10821
l_1374,28822
l_1375,28822
l_1376,9523
l_1377,15481
l_1378,15481
l_1379,15481
l_1380,20157
l_1381,12000
l_1382,15481
l_1383,28822
l_1384,10658
l_1385,12000
l_1386,19825
l_1387,19825
l_1388,12615
l_1389,18554
l_1390,25748
l_1391,16734
l_1392,16734
l_1393,4863
l_1394,8296
l_1395,20157
l_1396,28822
l_1397,43962
l_1398,43962
l_1399,25748
l_1400,18554
l_1401,16734
l_1402,12000
l_1403,25748
l_1404,18554
l_1405,17823
l_1406,27324
l_1407,20157
l_1408,25748
l_1409,25748
l_1410,30484
l_1411,30484
l_1412,27324
l_1413,30484
l_1414,30484
l_1415,30484
l_1416,8296
l_1417,17823
l_1418,20157
l_1419,20157
l_1420,30484
l_1421,28195
l_1422,12793
l_1423,34625
l_1424,15177
l_1425,28195
l_1426,25486
l_1427,27324
l_1428,28195
l_1429,19825
l_1430,15177
l_1431,28195
l_1432,12000
l_1433,9627
l_1434,9627
l_1435,28822
l_1436,28822
l_1437,34625
l_1438,34625
l_1439,25748
l_1440,25748
l_1441,90000
l_1442,43962
l_1443,3000
l_1444,3000
l_1445,6000
l_1446,90000
l_1447,18012
l_1448,25694
l_1449,25694
l_1450,12259
l_1451,12259
l_1452,12259
l_1453,20157
l_1454,24996
l_1455,17823
l_1456,17823
l_1457,17823
l_1458,12562
l_1459,12562
l_1460,12562
l_1461,24996
l_1462,12000
l_1463,43962
l_1464,24996
l_1465,18012
l_1466,3000
l_1467,10821
l_1468,24996
l_1469,27324
l_1470,14414
