id,start,end,maxspeed,streetName,junction
l_165,n_id1528,n_id1523,50 km/h,Saint Stephens Avenue,None
l_166,n_id1312,n_id1310,30 km/h,Beach Road,None
l_167,n_id1310,n_id1308,30 km/h,Beach Road,None
l_168,n_id739,n_id760,30 km/h,Wellesley Street W,None
l_169,n_id1327,n_id1330,30 km/h,Beach Road,None
l_170,n_id1329,n_id1325,30 km/h,Beach Road,None
l_171,n_id1323,n_id1327,30 km/h,Beach Road,None
l_172,n_id828,n_id826,30 km/h,Mayoral Drive,None
l_173,n_id1257,n_id1264,30 km/h,Symonds Street,None
l_174,n_id726,n_id739,30 km/h,Wellesley Street W,None
l_175,n_id263,n_id264,50 km/h,New North Road,None
l_176,n_id264,n_id271,50 km/h,New North Road,None
l_177,n_id1264,n_id1258,30 km/h,Waterloo Quadrant,None
l_178,n_id83,n_id85,50 km/h,Curran Street,None
l_179,n_id85,n_id89,50 km/h,Curran Street,None
l_180,n_id566,n_id562,30 km/h,Halsey Street,None
l_181,n_id914,n_id919,40 km/h,Fanshawe Street,None
l_182,n_id562,n_id588,30 km/h,Victoria Street W,None
l_183,n_id954,n_id956,30 km/h,Albert Street,None
l_184,n_id567,n_id566,30 km/h,Halsey Street,None
l_185,n_id927,n_id932,30 km/h,Albert Street,None
l_186,n_id923,n_id902,30 km/h,Mayoral Drive,None
l_187,n_id1013,n_id1023,30 km/h,Quay Street,None
l_188,n_id274,n_id270,50 km/h,Picton Street,None
l_189,n_id205,n_id213,50 km/h,Great North Road,None
l_190,n_id724,n_id747,30 km/h,Victoria Street W,None
l_191,n_id259,n_id263,50 km/h,New North Road,None
l_192,n_id846,n_id861,30 km/h,Karangahape Road,None
l_193,n_id802,n_id814,30 km/h,Upper Queen Street,None
l_194,n_id813,n_id831,30 km/h,Victoria Street W,None
l_195,n_id1478,n_id1477,50 km/h,Parnell Road,None
l_196,n_id258,n_id261,50 km/h,Great North Road,None
l_197,n_id1006,n_id1009,30 km/h,Queen Street,None
l_198,n_id791,n_id813,30 km/h,Victoria Street W,None
l_199,n_id1119,n_id1109,30 km/h,Customs Street E,None
l_200,n_id1315,n_id1312,30 km/h,Beach Road,None
l_201,n_id762,n_id791,30 km/h,Victoria Street W,None
l_202,n_id405,n_id401,30 km/h,Beaumont Street,None
l_203,n_id1192,n_id1180,30 km/h,Customs Street E,None
l_204,n_id287,n_id288,50 km/h,Great North Road,None
l_205,n_id1034,n_id1027,30 km/h,Victoria Street E,None
l_206,n_id28,n_id34,50 km/h,Richmond Road,None
l_207,n_id482,n_id490,30 km/h,Karangahape Road,None
l_208,n_id604,n_id620,30 km/h,Karangahape Road,None
l_209,n_id651,n_id639,50 km/h,Newton Road,None
l_210,n_id221,n_id193,50 km/h,Williamson Avenue,None
l_211,n_id243,n_id248,40 km/h,Ponsonby Road,None
l_212,n_id663,n_id708,30 km/h,Karangahape Road,None
l_213,n_id203,n_id206,40 km/h,Ponsonby Road,None
l_214,n_id136,n_id124,50 km/h,Shelly Beach Road,None
l_215,n_id33,n_id36,50 km/h,Jervois Road,None
l_216,n_id1011,n_id996,30 km/h,Victoria Street E,None
l_217,n_id87,n_id71,50 km/h,Williamson Avenue,None
l_218,n_id282,n_id266,50 km/h,Williamson Avenue,None
l_219,n_id1052,n_id1057,30 km/h,Queen Street,None
l_220,n_id1216,n_id1192,30 km/h,Beach Road,None
l_221,n_id932,n_id939,30 km/h,Albert Street,None
l_222,n_id722,n_id732,50 km/h,Upper Queen Street,None
l_223,n_id256,n_id255,50 km/h,Bond Street,None
l_224,n_id1454,n_id1455,50 km/h,Parnell Road,None
l_225,n_id1024,n_id1012,50 km/h,Khyber Pass Road,None
l_226,n_id1207,n_id1199,50 km/h,Khyber Pass Road,None
l_227,n_id1199,n_id1183,50 km/h,Khyber Pass Road,None
l_228,n_id253,n_id260,40 km/h,Richmond Road,None
l_229,n_id563,n_id587,30 km/h,Cook Street,None
l_230,n_id318,n_id321,30 km/h,Hepburn Street,None
l_231,n_id213,n_id228,50 km/h,Great North Road,None
l_232,n_id1016,n_id1003,30 km/h,Customs Street W,None
l_233,n_id1085,n_id1102,30 km/h,Symonds Street,None
l_234,n_id991,n_id999,30 km/h,Symonds Street,None
l_235,n_id1455,n_id1458,50 km/h,Parnell Road,None
l_236,n_id1442,n_id1445,50 km/h,Parnell Road,None
l_237,n_id792,n_id804,30 km/h,Karangahape Road,None
l_238,n_id708,n_id725,30 km/h,Karangahape Road,None
l_239,n_id1459,n_id1462,50 km/h,Parnell Road,None
l_240,n_id254,n_id259,50 km/h,Sandringham Road,None
l_241,n_id1534,n_id1528,50 km/h,Saint Stephens Avenue,None
l_242,n_id1523,n_id1510,50 km/h,Saint Stephens Avenue,None
l_243,n_id411,n_id402,50 km/h,Newton Road,None
l_244,n_id1142,n_id1129,30 km/h,Customs Street E,None
l_245,n_id1384,n_id1378,50 km/h,Carlton Gore Road,None
l_246,n_id720,n_id736,50 km/h,New North Road,None
l_247,n_id1136,n_id1134,50 km/h,Wellesley Street E,None
l_248,n_id1458,n_id1459,50 km/h,Parnell Road,None
l_249,n_id1461,n_id1458,50 km/h,Ayr Street,None
l_250,n_id222,n_id257,50 km/h,College Hill,None
l_251,n_id215,n_id222,50 km/h,College Hill,None
l_252,n_id1145,n_id1149,50 km/h,Grafton Road,None
l_253,n_id950,n_id960,30 km/h,Symonds Street,None
l_254,n_id255,n_id251,50 km/h,Bond Street,None
l_255,n_id204,n_id195,50 km/h,Bond Street,None
l_256,n_id138,n_id136,50 km/h,Shelly Beach Road,None
l_257,n_id294,n_id298,50 km/h,New North Road,None
l_258,n_id58,n_id60,50 km/h,Great North Road,None
l_259,n_id111,n_id117,50 km/h,Great North Road,None
l_260,n_id1204,n_id1201,30 km/h,Grafton Road,None
